request_id,bundle_id,apply_sequence,change_type,target,proposed_change,supersedes_request_id,dependency_ids,proposed_effective_at,scope,environment
CR-4843,CB-0626-B,96,ADD_ENTITY,Cash Application Batch,Add Entity proposal for Cash Application Batch.,,,2026-06-30T15:16:00,Central Service-to-Cash,staging
CR-4844,CB-0626-B,97,ADD_RELATIONSHIP,Bank Statement Line,Add Relationship proposal for Bank Statement Line.,,,2026-06-30T15:17:00,Central Service-to-Cash,staging
CR-4845,CB-0626-B,98,RENAME_FACT,Payment Method,Rename Fact proposal for Payment Method.,,,2026-06-30T15:18:00,Central Service-to-Cash,staging
CR-4846,CB-0626-B,99,REMOVE_FK,Settlement Instruction,Remove Fk proposal for Settlement Instruction.,,,2026-06-30T15:19:00,Central Service-to-Cash,staging
CR-4847,CB-0626-B,100,ADD_ENTITY,Work Order Dependency,Add Entity proposal for Work Order Dependency.,,,2026-06-30T15:20:00,Central Service-to-Cash,staging
CR-4848,CB-0626-B,101,ADD_RELATIONSHIP,Request Comment,Add Relationship proposal for Request Comment.,,,2026-06-30T15:21:00,Central Service-to-Cash,staging
CR-4849,CB-0626-B,102,RENAME_FACT,Customer Acceptance,Rename Fact proposal for Customer Acceptance.,,,2026-06-30T15:22:00,Central Service-to-Cash,staging
CR-4850,CB-0626-B,103,REMOVE_FK,Service Entitlement,Remove Fk proposal for Service Entitlement.,,,2026-06-30T15:23:00,Central Service-to-Cash,staging
CR-4851,CB-0626-B,104,ADD_ENTITY,Coverage Exception,Add Entity proposal for Coverage Exception.,,,2026-06-30T15:24:00,Central Service-to-Cash,production
CR-4852,CB-0626-B,105,ADD_RELATIONSHIP,SLA Breach Review,Add Relationship proposal for SLA Breach Review.,,,2026-06-30T15:25:00,Central Service-to-Cash,production
CR-4853,CB-0626-B,106,RENAME_FACT,Technician Availability,Rename Fact proposal for Technician Availability.,,,2026-06-30T15:26:00,Central Service-to-Cash,production
CR-4854,CB-0626-B,107,ADD_ENTITY,Parts Backorder,Add Entity proposal for Parts Backorder.,,,2026-06-30T15:27:00,Central Service-to-Cash,production
CR-4855,CB-0626-B,108,ADD_RELATIONSHIP,Invoice Settlement,Add Relationship proposal for Invoice Settlement.,,,2026-06-30T15:28:00,Central Service-to-Cash,production
CR-4856,CB-0626-B,109,RENAME_FACT,Payment Reversal,Rename Fact proposal for Payment Reversal.,,,2026-06-30T15:29:00,Central Service-to-Cash,production
CR-4857,CB-0626-B,110,ADD_RELATIONSHIP,Asset Meter Reading,Add Relationship proposal for Asset Meter Reading.,,,2026-06-30T15:30:00,Central Service-to-Cash,production
CR-4858,CB-0626-B,111,RENAME_FACT,Visit Checklist,Rename Fact proposal for Visit Checklist.,,,2026-06-30T15:31:00,Central Service-to-Cash,production
CR-4859,CB-0626-B,112,ADD_ENTITY,Agreement Contact,Add Entity proposal for Agreement Contact.,,,2026-06-30T15:32:00,Central Service-to-Cash,production
CR-4860,CB-0626-B,113,RENAME_ENTITY,Location Contact,Rename Entity proposal for Location Contact.,,,2026-06-30T15:33:00,Central Service-to-Cash,production
CR-4861,CB-0626-B,114,RENAME_FACT,Work Order Handoff,Rename Fact proposal for Work Order Handoff.,,CR-4851,2026-06-30T15:34:00,Central Service-to-Cash,production
CR-4862,CB-0626-B,115,REMOVE_FK,Service Request Audit,Remove Fk proposal for Service Request Audit.,,CR-4852,2026-06-30T15:35:00,Central Service-to-Cash,production
CR-4863,CB-0626-B,116,ADD_ENTITY,Invoice Approval,Add Entity proposal for Invoice Approval.,,CR-4857,2026-06-30T15:36:00,Central Service-to-Cash,production
CR-4864,CB-0626-B,117,ADD_RELATIONSHIP,Payment Reconciliation,Add Relationship proposal for Payment Reconciliation.,,CR-4858,2026-06-30T15:37:00,Central Service-to-Cash,production
