application_id,checked_at,revision_no,packet_status,budget_attachment_status,site_authorization_status,review_team
A26-5032,2026-03-14T16:45-07:00,1,complete,missing,verified,intake_b
A26-5141,2026-03-16T13:00-07:00,1,needs_followup,approved,verified,intake_a
A26-3936,2026-03-12T16:15-07:00,1,complete,approved,not_required,intake_c
A26-8029,2026-03-18T09:45-07:00,1,complete,approved,not_required,intake_a
A26-9809,2026-03-14T14:45-07:00,1,complete,missing,verified,intake_b
A26-1455,2026-03-15T11:45-07:00,1,complete,approved,not_required,intake_b
A26-1814,2026-03-14T10:30-07:00,1,complete,approved,verified,intake_b
A26-1206,2026-03-09T13:30-07:00,1,complete,approved,pending,intake_a
A26-5013,2026-03-12T13:45-07:00,1,complete,approved,verified,intake_b
A26-5181,2026-02-26T13:45-07:00,1,complete,missing,not_required,intake_c
A26-1158,2026-03-14T14:30-07:00,1,complete,approved,verified,intake_c
A26-8698,2026-03-16T16:30-07:00,1,complete,approved,verified,intake_b
A26-6289,2026-03-17T15:00-07:00,1,complete,approved,verified,intake_b
A26-5087,2026-03-03T11:15-07:00,1,complete,missing,not_required,intake_b
A26-5029,2026-03-18T16:45-07:00,1,complete,approved,verified,intake_a
A26-5027,2026-03-16T15:45-07:00,1,complete,approved,not_required,intake_b
A26-5130,2026-03-15T10:30-07:00,1,complete,approved,verified,intake_c
A26-8854,2026-03-08T12:30-07:00,1,complete,approved,verified,intake_b
A26-5079,2026-03-26T09:30-07:00,1,needs_followup,approved,verified,intake_c
A26-4862,2026-03-16T10:30-07:00,1,complete,approved,verified,intake_c
A26-1995,2026-03-21T11:45-07:00,1,complete,approved,not_required,intake_b
A26-1995,2026-03-12T11:45-07:00,1,incomplete,approved,not_required,intake_b
A26-0932,2026-03-22T11:15-07:00,1,complete,approved,not_required,intake_a
A26-9016,2026-03-08T12:15-07:00,1,complete,approved,verified,intake_c
A26-0408,2026-03-18T11:30-07:00,1,complete,approved,pending,intake_a
A26-5038,2026-03-08T11:45-07:00,1,complete,approved,not_required,intake_c
A26-3080,2026-03-26T09:30-07:00,1,needs_followup,approved,not_required,intake_c
A26-2449,2026-03-16T14:30-07:00,1,incomplete,approved,not_required,intake_c
A26-4127,2026-03-06T10:30-07:00,1,complete,missing,verified,intake_c
A26-9295,2026-03-08T15:00-07:00,1,complete,approved,verified,intake_c
A26-5011,2026-03-01T15:30-07:00,1,complete,missing,verified,intake_c
A26-0200,2026-03-10T15:45-07:00,1,complete,approved,verified,intake_a
A26-1133,2026-02-22T11:45-07:00,1,complete,missing,verified,intake_a
A26-5109,2026-03-21T16:15-07:00,1,complete,approved,not_required,intake_c
A26-6525,2026-03-15T11:45-07:00,1,complete,missing,verified,intake_c
A26-5110,2026-03-14T14:45-07:00,1,complete,approved,pending,intake_a
A26-2660,2026-02-24T13:00-07:00,1,complete,approved,verified,intake_a
A26-5040,2026-03-03T10:15-07:00,1,incomplete,approved,verified,intake_b
A26-5044,2026-03-12T16:15-07:00,1,complete,missing,verified,intake_b
A26-4971,2026-03-08T09:15-07:00,1,complete,approved,not_required,intake_b
A26-4985,2026-03-26T09:30-07:00,1,needs_followup,approved,verified,intake_c
A26-1380,2026-03-17T09:00-07:00,1,complete,approved,pending,intake_a
A26-2224,2026-03-13T16:30-07:00,2,complete,approved,not_required,intake_c
A26-6046,2026-03-26T09:30-07:00,1,needs_followup,approved,verified,intake_c
A26-4453,2026-02-17T10:15-07:00,1,incomplete,approved,verified,intake_a
A26-8336,2026-03-09T16:45-07:00,1,complete,approved,verified,intake_a
A26-0646,2026-03-09T10:00-07:00,1,complete,approved,not_required,intake_b
A26-9230,2026-03-26T09:30-07:00,1,needs_followup,approved,not_required,intake_c
A26-6046,2026-03-11T12:00-07:00,1,complete,missing,verified,intake_a
A26-5081,2026-03-09T10:00-07:00,1,incomplete,approved,not_required,intake_b
A26-2275,2026-03-13T13:45-07:00,1,complete,approved,verified,intake_b
A26-5073,2026-03-07T13:45-07:00,1,complete,missing,verified,intake_a
A26-5098,2026-03-12T16:30-07:00,1,complete,approved,not_required,intake_a
A26-6742,2026-03-22T11:45-07:00,2,complete,approved,verified,intake_b
A26-1357,2026-03-09T11:45-07:00,1,incomplete,approved,not_required,intake_b
A26-4829,2026-03-12T16:15-07:00,1,complete,approved,pending,intake_c
A26-5079,2026-03-07T10:45-07:00,1,complete,approved,pending,intake_c
A26-5034,2026-02-21T12:15-07:00,1,complete,approved,verified,intake_a
A26-3419,2026-03-13T15:00-07:00,1,complete,approved,not_required,intake_a
A26-5239,2026-03-08T14:30-07:00,1,complete,approved,not_required,intake_a
A26-5005,2026-02-22T14:45-07:00,1,complete,approved,verified,intake_b
A26-5063,2026-03-07T10:15-07:00,1,complete,missing,verified,intake_a
A26-4805,2026-03-10T16:30-07:00,1,complete,approved,not_required,intake_b
A26-2861,2026-03-13T12:15-07:00,1,complete,approved,pending,intake_a
A26-9014,2026-03-18T09:15-07:00,1,complete,revision_requested,verified,intake_b
A26-5107,2026-03-11T16:00-07:00,1,complete,approved,verified,intake_a
A26-5669,2026-02-21T09:15-07:00,1,complete,approved,pending,intake_c
A26-1206,2026-03-16T13:30-07:00,1,complete,approved,not_required,intake_c
A26-0138,2026-03-26T09:30-07:00,1,needs_followup,approved,verified,intake_c
A26-5086,2026-03-05T09:15-07:00,1,complete,missing,not_required,intake_a
A26-8081,2026-03-06T09:15-07:00,1,complete,approved,verified,intake_b
A26-5014,2026-03-20T10:30-07:00,1,complete,approved,verified,intake_a
A26-5030,2026-02-25T09:15-07:00,1,incomplete,approved,not_required,intake_c
A26-9571,2026-03-08T13:15-07:00,1,complete,approved,not_required,intake_b
A26-5191,2026-03-14T11:15-07:00,1,complete,approved,not_required,intake_c
A26-5156,2026-03-02T12:15-07:00,1,incomplete,approved,not_required,intake_b
A26-2356,2026-03-17T10:15-07:00,1,complete,approved,verified,intake_a
A26-2224,2026-03-13T16:30-07:00,1,needs_followup,approved,not_required,intake_c
A26-5084,2026-03-03T16:15-07:00,1,complete,missing,not_required,intake_a
A26-5174,2026-03-20T12:30-07:00,1,complete,approved,not_required,intake_c
A26-5037,2026-03-13T13:45-07:00,1,complete,approved,not_required,intake_b
A26-6298,2026-03-19T13:30-07:00,1,complete,approved,not_required,intake_c
A26-5067,2026-03-09T13:45-07:00,1,complete,approved,verified,intake_c
A26-5573,2026-03-13T11:15-07:00,1,complete,approved,verified,intake_a
A26-5008,2026-03-26T09:30-07:00,1,needs_followup,approved,not_required,intake_c
A26-5134,2026-03-15T12:15-07:00,1,complete,approved,not_required,intake_c
A26-4531,2026-03-19T15:45-07:00,1,complete,approved,not_required,intake_a
A26-4847,2026-03-14T10:15-07:00,1,complete,approved,verified,intake_a
A26-1251,2026-03-17T10:15-07:00,1,complete,revision_requested,verified,intake_a
A26-3929,2026-03-18T12:15-07:00,1,complete,approved,verified,intake_a
A26-3355,2026-03-15T11:45-07:00,1,complete,approved,verified,intake_b
A26-9935,2026-03-15T13:15-07:00,2,complete,approved,not_required,intake_c
A26-5106,2026-03-12T09:15-07:00,1,incomplete,approved,verified,intake_a
A26-2933,2026-03-12T13:45-07:00,1,complete,approved,not_required,intake_b
A26-1723,2026-03-15T14:15-07:00,1,complete,approved,not_required,intake_c
A26-2711,2026-03-12T15:45-07:00,1,complete,approved,not_required,intake_c
A26-0335,2026-03-11T11:30-07:00,1,complete,approved,not_required,intake_b
A26-5044,2026-03-15T16:15-07:00,1,needs_followup,approved,verified,intake_b
A26-5157,2026-02-28T09:45-07:00,1,complete,missing,verified,intake_b
A26-9407,2026-03-20T13:45-07:00,1,complete,approved,not_required,intake_a
A26-8788,2026-03-21T11:15-07:00,1,complete,approved,not_required,intake_b
A26-2120,2026-02-25T13:00-07:00,1,complete,approved,pending,intake_a
A26-5154,2026-03-14T09:00-07:00,1,complete,approved,verified,intake_a
A26-5025,2026-03-01T14:00-07:00,1,incomplete,approved,verified,intake_a
A26-9305,2026-03-17T09:15-07:00,1,complete,approved,not_required,intake_a
A26-3538,2026-03-20T09:45-07:00,1,complete,approved,pending,intake_a
A26-5161,2026-03-15T13:00-07:00,1,complete,approved,pending,intake_a
A26-4229,2026-02-23T14:15-07:00,1,complete,approved,verified,intake_b
A26-6965,2026-03-26T09:30-07:00,1,needs_followup,approved,not_required,intake_c
A26-5058,2026-03-12T10:15-07:00,1,complete,approved,not_required,intake_b
A26-8896,2026-03-17T13:15-07:00,1,complete,approved,verified,intake_a
A26-9555,2026-03-26T09:30-07:00,1,complete,approved,not_required,intake_c
A26-0685,2026-03-21T09:30-07:00,1,complete,approved,not_required,intake_b
A26-4951,2026-03-26T09:30-07:00,1,needs_followup,approved,not_required,intake_c
A26-5036,2026-03-09T12:30-07:00,1,complete,approved,verified,intake_c
A26-2142,2026-03-14T09:45-07:00,1,complete,approved,verified,intake_a
A26-9690,2026-03-11T13:00-07:00,1,complete,approved,not_required,intake_a
A26-8259,2026-03-18T09:45-07:00,1,complete,approved,pending,intake_a
A26-5065,2026-03-26T09:30-07:00,1,needs_followup,approved,not_required,intake_c
A26-1001,2026-03-18T10:00-07:00,1,complete,approved,pending,intake_a
A26-5044,2026-03-15T16:15-07:00,2,complete,approved,verified,intake_b
A26-5050,2026-03-12T15:30-07:00,1,complete,approved,verified,intake_a
A26-5123,2026-03-10T16:45-07:00,1,incomplete,approved,not_required,intake_c
A26-6745,2026-03-18T14:45-07:00,1,complete,missing,verified,intake_a
A26-3000,2026-03-04T11:00-07:00,1,complete,missing,verified,intake_b
A26-5012,2026-03-08T13:30-07:00,1,incomplete,approved,verified,intake_c
A26-6031,2026-03-11T12:30-07:00,1,complete,approved,verified,intake_b
A26-5007,2026-03-22T15:00-07:00,1,needs_followup,approved,verified,intake_c
A26-5104,2026-03-26T09:30-07:00,1,needs_followup,approved,verified,intake_c
A26-7367,2026-03-08T15:15-07:00,1,needs_followup,approved,verified,intake_c
A26-7111,2026-02-16T11:00-07:00,1,complete,missing,not_required,intake_b
A26-8029,2026-03-01T09:45-07:00,1,incomplete,approved,not_required,intake_a
A26-4568,2026-03-17T13:15-07:00,1,complete,approved,not_required,intake_c
A26-4318,2026-03-17T10:45-07:00,1,complete,approved,verified,intake_a
A26-5095,2026-03-12T11:30-07:00,1,complete,approved,verified,intake_b
A26-8259,2026-03-20T09:45-07:00,1,complete,approved,verified,intake_a
A26-5056,2026-03-02T11:00-07:00,1,complete,missing,verified,intake_c
A26-5082,2026-03-19T11:45-07:00,1,complete,approved,not_required,intake_a
A26-5040,2026-03-15T10:15-07:00,1,complete,approved,verified,intake_b
A26-5115,2026-03-15T15:15-07:00,1,complete,approved,verified,intake_b
A26-0015,2026-02-21T15:45-07:00,1,incomplete,approved,not_required,intake_c
A26-8689,2026-02-21T10:45-07:00,1,complete,missing,not_required,intake_c
A26-5032,2026-03-18T16:45-07:00,1,complete,approved,verified,intake_b
A26-5675,2026-03-14T14:45-07:00,1,complete,missing,not_required,intake_c
A26-5081,2026-03-11T10:00-07:00,1,complete,approved,not_required,intake_b
A26-3554,2026-03-17T13:30-07:00,1,complete,approved,verified,intake_c
A26-3028,2026-03-18T11:15-07:00,1,complete,approved,verified,intake_b
A26-6165,2026-03-09T16:30-07:00,1,incomplete,approved,verified,intake_b
A26-5143,2026-03-11T16:00-07:00,1,complete,approved,verified,intake_b
A26-7651,2026-03-07T15:15-07:00,1,complete,missing,verified,intake_c
A26-5039,2026-03-13T13:45-07:00,1,complete,approved,not_required,intake_a
A26-2211,2026-03-17T11:00-07:00,1,needs_followup,approved,verified,intake_b
A26-5113,2026-03-18T11:15-07:00,1,complete,approved,not_required,intake_b
A26-3179,2026-03-26T09:30-07:00,1,complete,approved,not_required,intake_c
A26-2064,2026-03-08T13:15-07:00,1,complete,approved,pending,intake_c
A26-3538,2026-03-11T09:45-07:00,1,complete,approved,verified,intake_c
A26-2367,2026-03-08T09:00-07:00,1,complete,approved,verified,intake_a
A26-5113,2026-03-04T11:15-07:00,1,complete,approved,pending,intake_c
A26-8466,2026-03-10T12:30-07:00,1,complete,approved,verified,intake_a
A26-1357,2026-03-16T11:45-07:00,2,complete,approved,not_required,intake_b
A26-5893,2026-03-22T15:45-07:00,2,complete,approved,verified,intake_c
A26-2370,2026-03-09T11:45-07:00,1,complete,approved,not_required,intake_a
A26-3907,2026-03-17T10:30-07:00,1,complete,approved,verified,intake_c
A26-5150,2026-03-22T14:15-07:00,1,complete,approved,verified,intake_a
A26-7110,2026-02-19T16:00-07:00,1,complete,approved,verified,intake_c
A26-6575,2026-03-08T10:00-07:00,1,complete,approved,pending,intake_b
A26-5088,2026-03-10T09:15-07:00,1,complete,approved,not_required,intake_b
A26-7367,2026-03-06T15:15-07:00,1,complete,approved,pending,intake_a
A26-7021,2026-03-11T15:45-07:00,1,complete,approved,verified,intake_b
A26-1298,2026-03-13T13:15-07:00,1,complete,missing,verified,intake_a
A26-0622,2026-03-13T09:15-07:00,1,complete,approved,verified,intake_c
A26-2914,2026-03-13T12:30-07:00,1,complete,missing,not_required,intake_a
A26-5177,2026-03-15T14:30-07:00,1,incomplete,approved,not_required,intake_b
A26-8629,2026-03-10T12:45-07:00,1,complete,approved,not_required,intake_a
A26-9458,2026-03-06T15:45-07:00,1,complete,missing,verified,intake_a
A26-5061,2026-03-11T12:15-07:00,1,complete,approved,verified,intake_a
A26-1270,2026-03-14T16:15-07:00,2,complete,approved,pending,intake_a
A26-8576,2026-03-15T16:30-07:00,1,complete,approved,not_required,intake_a
A26-5120,2026-03-13T15:00-07:00,1,complete,approved,not_required,intake_c
A26-7399,2026-03-06T14:30-07:00,1,incomplete,approved,not_required,intake_c
A26-9806,2026-03-02T15:30-07:00,1,incomplete,approved,verified,intake_b
A26-5079,2026-03-16T10:45-07:00,1,complete,approved,verified,intake_a
A26-7239,2026-03-14T09:30-07:00,1,complete,approved,verified,intake_a
A26-5157,2026-03-20T09:45-07:00,1,complete,approved,verified,intake_b
A26-7987,2026-03-19T12:15-07:00,1,complete,approved,verified,intake_b
A26-5092,2026-03-14T13:30-07:00,1,complete,approved,not_required,intake_b
A26-5142,2026-03-13T09:00-07:00,1,incomplete,approved,verified,intake_a
A26-7612,2026-03-18T11:15-07:00,1,complete,approved,verified,intake_c
A26-1298,2026-03-15T13:15-07:00,1,complete,approved,verified,intake_c
A26-8457,2026-03-26T09:30-07:00,1,needs_followup,approved,not_required,intake_c
A26-5009,2026-03-09T16:30-07:00,1,complete,approved,verified,intake_a
A26-4495,2026-03-08T12:00-07:00,1,complete,approved,not_required,intake_a
A26-4732,2026-03-01T13:15-07:00,1,complete,approved,pending,intake_c
A26-3095,2026-03-10T11:00-07:00,1,complete,approved,pending,intake_b
A26-1158,2026-02-24T14:30-07:00,1,complete,missing,verified,intake_b
A26-5052,2026-03-09T14:30-07:00,1,needs_followup,approved,pending,intake_c
A26-3179,2026-03-22T14:15-07:00,1,needs_followup,approved,not_required,intake_c
A26-9486,2026-03-26T09:30-07:00,1,needs_followup,approved,not_required,intake_c
A26-8764,2026-03-19T09:30-07:00,1,complete,approved,not_required,intake_a
A26-5165,2026-03-22T09:15-07:00,1,complete,approved,not_required,intake_c
A26-0620,2026-03-01T12:30-07:00,1,complete,missing,not_required,intake_c
A26-1265,2026-03-21T11:00-07:00,2,complete,approved,verified,intake_a
A26-0135,2026-03-14T15:15-07:00,1,complete,approved,verified,intake_c
A26-5172,2026-02-24T14:30-07:00,1,incomplete,approved,verified,intake_c
A26-1175,2026-02-20T15:00-07:00,1,incomplete,approved,not_required,intake_a
A26-5011,2026-03-26T09:30-07:00,1,needs_followup,approved,verified,intake_c
A26-8336,2026-03-14T16:45-07:00,1,complete,revision_requested,verified,intake_a
A26-7566,2026-03-18T13:15-07:00,1,complete,approved,verified,intake_a
A26-8689,2026-03-10T10:45-07:00,1,complete,approved,not_required,intake_b
A26-3108,2026-03-13T12:45-07:00,1,complete,approved,verified,intake_b
A26-5030,2026-03-26T09:30-07:00,1,needs_followup,approved,not_required,intake_c
A26-1001,2026-03-20T10:00-07:00,1,complete,approved,verified,intake_a
A26-0918,2026-03-13T16:15-07:00,1,complete,approved,not_required,intake_c
A26-6046,2026-03-19T12:00-07:00,1,complete,approved,verified,intake_a
A26-7705,2026-03-17T09:30-07:00,1,complete,approved,verified,intake_b
A26-4074,2026-02-28T12:15-07:00,1,complete,approved,pending,intake_a
A26-5400,2026-03-09T16:45-07:00,1,complete,approved,not_required,intake_c
A26-5033,2026-03-14T10:00-07:00,1,complete,approved,verified,intake_c
A26-3425,2026-03-12T09:00-07:00,1,complete,approved,pending,intake_b
A26-0399,2026-03-17T10:00-07:00,1,complete,approved,verified,intake_b
A26-5490,2026-02-22T12:00-07:00,1,incomplete,approved,verified,intake_a
A26-1505,2026-02-22T09:00-07:00,1,complete,missing,verified,intake_b
A26-3848,2026-03-05T12:00-07:00,1,complete,missing,not_required,intake_c
A26-2157,2026-03-09T13:15-07:00,1,complete,approved,verified,intake_a
A26-7528,2026-03-12T16:15-07:00,2,complete,approved,not_required,intake_b
A26-5066,2026-03-08T13:00-07:00,1,complete,approved,verified,intake_b
A26-1154,2026-03-15T15:15-07:00,1,complete,approved,not_required,intake_a
A26-5056,2026-03-09T11:00-07:00,1,needs_followup,approved,verified,intake_a
A26-5090,2026-03-08T12:00-07:00,1,complete,approved,verified,intake_a
A26-5573,2026-03-06T11:15-07:00,1,complete,approved,pending,intake_c
A26-0896,2026-03-11T09:45-07:00,1,complete,approved,verified,intake_b
A26-1673,2026-03-26T09:30-07:00,1,needs_followup,approved,verified,intake_c
A26-5140,2026-02-20T12:45-07:00,1,complete,missing,verified,intake_c
A26-4333,2026-03-17T15:45-07:00,1,complete,approved,verified,intake_c
A26-2709,2026-03-09T09:45-07:00,1,needs_followup,approved,not_required,intake_c
A26-5097,2026-03-19T10:00-07:00,1,complete,approved,not_required,intake_c
A26-5108,2026-03-07T15:30-07:00,1,incomplete,approved,verified,intake_a
A26-5155,2026-03-03T12:00-07:00,1,complete,missing,verified,intake_c
A26-5064,2026-03-19T09:15-07:00,1,complete,approved,pending,intake_c
A26-5106,2026-03-21T09:15-07:00,1,complete,approved,verified,intake_a
A26-5135,2026-03-13T10:45-07:00,1,complete,approved,verified,intake_c
A26-5030,2026-03-13T09:15-07:00,1,complete,approved,not_required,intake_c
A26-8425,2026-03-06T15:45-07:00,1,complete,approved,pending,intake_a
A26-3823,2026-03-20T16:30-07:00,1,complete,approved,not_required,intake_a
A26-1873,2026-03-15T14:30-07:00,1,complete,approved,not_required,intake_c
A26-5119,2026-03-26T09:30-07:00,1,needs_followup,approved,not_required,intake_c
A26-8645,2026-03-17T15:45-07:00,1,complete,approved,verified,intake_c
A26-5071,2026-03-10T15:00-07:00,2,complete,approved,not_required,intake_a
A26-5171,2026-03-22T15:15-07:00,1,complete,approved,not_required,intake_c
A26-1289,2026-03-06T16:45-07:00,1,complete,missing,verified,intake_b
A26-5167,2026-03-03T15:15-07:00,1,complete,missing,verified,intake_c
A26-5077,2026-02-28T09:30-07:00,1,incomplete,approved,not_required,intake_a
A26-1673,2026-03-10T13:30-07:00,1,complete,approved,pending,intake_b
A26-5104,2026-03-10T10:45-07:00,1,complete,approved,verified,intake_b
A26-8205,2026-03-20T13:45-07:00,1,complete,approved,verified,intake_b
A26-5003,2026-03-15T10:00-07:00,1,complete,approved,not_required,intake_b
A26-2183,2026-03-22T12:45-07:00,1,complete,approved,verified,intake_a
A26-3179,2026-03-17T14:15-07:00,1,complete,approved,verified,intake_a
A26-8731,2026-03-22T15:30-07:00,1,complete,approved,not_required,intake_c
A26-5031,2026-03-22T13:00-07:00,1,complete,approved,verified,intake_a
A26-5159,2026-03-21T10:00-07:00,1,complete,approved,verified,intake_b
A26-7547,2026-03-04T11:30-07:00,1,incomplete,approved,not_required,intake_c
A26-5037,2026-03-05T13:45-07:00,1,complete,missing,not_required,intake_c
A26-0328,2026-03-16T14:00-07:00,1,complete,approved,not_required,intake_c
A26-3833,2026-03-21T12:00-07:00,1,complete,approved,verified,intake_a
A26-1778,2026-03-18T14:15-07:00,1,complete,approved,verified,intake_b
A26-9230,2026-03-19T09:00-07:00,1,complete,approved,not_required,intake_c
A26-9872,2026-03-18T09:30-07:00,1,complete,approved,verified,intake_c
A26-1732,2026-03-19T14:45-07:00,1,complete,approved,not_required,intake_c
A26-5099,2026-03-11T10:15-07:00,1,complete,approved,verified,intake_a
A26-2914,2026-03-19T12:30-07:00,1,complete,approved,not_required,intake_c
A26-5100,2026-03-18T11:00-07:00,1,complete,approved,pending,intake_c
A26-5103,2026-03-09T11:00-07:00,1,complete,approved,not_required,intake_b
A26-1847,2026-03-16T09:15-07:00,1,complete,missing,not_required,intake_c
A26-1873,2026-03-04T14:30-07:00,1,incomplete,approved,not_required,intake_c
A26-5149,2026-02-22T10:30-07:00,1,incomplete,approved,not_required,intake_a
A26-3080,2026-03-10T15:00-07:00,1,complete,approved,pending,intake_c
A26-2660,2026-03-08T13:00-07:00,1,complete,revision_requested,not_required,intake_c
A26-1932,2026-02-21T12:15-07:00,1,complete,approved,pending,intake_c
A26-9797,2026-03-20T13:45-07:00,2,complete,approved,not_required,intake_a
A26-2052,2026-03-15T16:30-07:00,1,complete,approved,not_required,intake_b
A26-6215,2026-03-20T16:00-07:00,1,complete,approved,verified,intake_b
A26-5121,2026-03-06T11:15-07:00,1,complete,missing,not_required,intake_b
A26-5578,2026-03-20T15:45-07:00,1,complete,approved,verified,intake_a
A26-7547,2026-03-18T11:30-07:00,1,complete,approved,not_required,intake_a
A26-6525,2026-03-21T11:45-07:00,1,complete,approved,verified,intake_b
A26-5124,2026-02-25T16:00-07:00,1,complete,approved,pending,intake_a
A26-2356,2026-03-05T10:15-07:00,1,complete,approved,pending,intake_c
A26-6067,2026-03-02T16:30-07:00,1,complete,missing,not_required,intake_a
A26-4453,2026-03-08T10:15-07:00,1,complete,approved,verified,intake_c
A26-0536,2026-03-15T13:45-07:00,1,incomplete,approved,not_required,intake_a
A26-3114,2026-03-17T12:45-07:00,1,complete,approved,not_required,intake_b
A26-1673,2026-03-15T13:30-07:00,1,complete,approved,verified,intake_a
A26-5084,2026-03-19T16:15-07:00,1,complete,approved,not_required,intake_c
A26-2224,2026-02-23T16:30-07:00,1,complete,approved,pending,intake_c
A26-6617,2026-03-09T10:45-07:00,1,complete,missing,not_required,intake_a
A26-5068,2026-03-12T15:30-07:00,1,complete,approved,pending,intake_a
A26-8803,2026-03-12T10:30-07:00,1,complete,approved,verified,intake_c
