organization_id,effective_at,revision_no,public_name,registration_status,tax_clearance,conflict_review,insurance_status
ORG-0347,2026-03-02T15:15-07:00,1,Kingsley Resident Council,active,pending,cleared,current
ORG-0424,2026-02-22T12:00-07:00,1,Lakewood Resident Council,renewal_pending,clear,cleared,current
ORG-0203,2026-03-13T10:00-07:00,1,Eastwood Community Development Network,renewal_pending,clear,cleared,current
ORG-0350,2026-03-12T11:45-07:00,1,Harborview Civic Collaborative,active,clear,cleared,current
ORG-0381,2026-03-20T16:00-07:00,1,Lakeside Climate Partnership,active,clear,review_open,current
ORG-0349,2026-03-16T13:15-07:00,1,Highland Community Association,active,clear,cleared,current
ORG-0152,2026-03-08T10:30-07:00,1,Northgate Housing Cooperative,active,clear,cleared,current
ORG-0213,2026-03-09T13:30-07:00,1,Westhaven Civic Collaborative,active,clear,cleared,current
ORG-0141,2026-03-02T11:00-07:00,1,Valley Community Development Network,active,clear,review_open,current
ORG-0465,2026-02-19T09:45-07:00,1,Northgate Resident Council,active,pending,cleared,current
ORG-0483,2026-03-16T09:30-07:00,1,Pinehurst Resident Council,active,clear,cleared,current
ORG-0405,2026-03-07T16:15-07:00,1,Meadow Civic Collaborative,active,clear,cleared,expired
ORG-0140,2026-03-08T14:15-07:00,1,Fox Community Development Network,active,clear,cleared,current
ORG-0123,2026-03-08T09:45-07:00,1,South Climate Partnership,active,clear,cleared,current
ORG-0084,2026-03-10T14:15-07:00,1,Glenwood Housing Cooperative,active,clear,cleared,current
ORG-0408,2026-03-04T14:30-07:00,1,Elmwood Community Association,active,clear,cleared,expired
ORG-0188,2026-03-18T09:30-07:00,1,Yorktown Community Development Network,active,clear,cleared,current
ORG-0167,2026-03-11T13:30-07:00,1,Terrace Civic Collaborative,renewal_pending,clear,cleared,current
ORG-0365,2026-03-08T16:00-07:00,1,Claremont Community Association,renewal_pending,clear,cleared,current
ORG-0482,2026-03-13T15:00-07:00,1,Parkview Housing Cooperative,active,clear,cleared,current
ORG-0271,2026-03-17T13:00-07:00,1,Hawthorne Climate Partnership,active,clear,cleared,current
ORG-0059,2026-02-12T16:15-07:00,1,South Housing Cooperative,active,clear,review_open,current
ORG-0173,2026-02-15T13:15-07:00,1,Northgate Homes Collaborative,active,pending,cleared,current
ORG-0403,2026-03-11T16:30-07:00,1,Grand Community Development Network,active,clear,cleared,current
ORG-0432,2026-03-27T10:00-07:00,1,Northgate Housing Cooperative,renewal_pending,pending,cleared,current
ORG-0163,2026-03-27T10:00-07:00,1,Old Resident Council,active,clear,cleared,expired
ORG-0278,2026-03-21T11:15-07:00,1,University Housing Cooperative,active,clear,cleared,current
ORG-0373,2026-03-21T15:00-07:00,1,Claremont Climate Partnership,active,clear,cleared,current
ORG-0166,2026-03-27T10:00-07:00,1,Glenwood Community Association,renewal_pending,clear,cleared,current
ORG-0261,2026-03-12T11:00-07:00,1,Redwood Neighborhood Alliance,active,clear,cleared,current
ORG-0230,2026-03-08T16:30-07:00,1,Maplewood Neighborhood Alliance,active,clear,cleared,current
ORG-0200,2026-03-10T15:30-07:00,1,Hawthorne Community Association,active,clear,cleared,current
ORG-0155,2026-02-15T09:15-07:00,1,Wellington Neighborhood Alliance,renewal_pending,clear,cleared,current
ORG-0375,2026-03-12T13:30-07:00,2,Brookfield Housing Cooperative,active,clear,cleared,current
ORG-0387,2026-02-11T14:15-07:00,1,Stonebridge Community Association,active,clear,cleared,current
ORG-0065,2026-03-27T10:00-07:00,1,College Community Development Network,active,pending,cleared,current
ORG-0208,2026-03-19T12:45-07:00,1,Hawthorne Civic Collaborative,active,clear,cleared,current
ORG-0130,2026-02-11T10:00-07:00,1,Redwood Climate Partnership,active,clear,cleared,current
ORG-0422,2026-03-17T09:15-07:00,1,Cedar Resident Council,active,clear,cleared,current
ORG-0105,2026-03-15T13:45-07:00,2,Kingston Climate Partnership,active,clear,cleared,current
ORG-0031,2026-03-13T13:00-07:00,1,Crescent Civic Collaborative,active,clear,cleared,current
ORG-0218,2026-03-10T09:00-07:00,1,Parkview Neighborhood Services,active,clear,cleared,current
ORG-0476,2026-03-18T16:00-07:00,1,Glen Neighborhood Alliance,active,clear,cleared,current
ORG-0364,2026-03-14T14:45-07:00,1,Brookfield Housing Cooperative,active,pending,cleared,current
ORG-0186,2026-03-17T11:30-07:00,1,Meadow Park Green Streets Group,active,clear,cleared,current
ORG-0204,2026-03-22T12:30-07:00,1,East Market Housing Cooperative,active,clear,cleared,current
ORG-0397,2026-02-15T12:00-07:00,1,Eastwood Community Development Network,renewal_pending,clear,cleared,current
ORG-0392,2026-02-27T12:45-07:00,1,Harborview Neighborhood Alliance,active,clear,review_open,current
ORG-0120,2026-03-27T10:00-07:00,1,Brookfield Housing Cooperative,active,pending,cleared,current
ORG-0042,2026-03-18T10:45-07:00,1,Monroe Community Association,active,clear,review_open,current
ORG-0159,2026-02-23T09:45-07:00,1,Cedar Community Association,active,clear,cleared,current
ORG-0011,2026-02-17T11:00-07:00,1,Ashland Community Association,active,clear,cleared,expired
ORG-0075,2026-03-13T09:00-07:00,1,Glenwood Climate Partnership,active,clear,cleared,current
ORG-0019,2026-03-18T11:45-07:00,1,Juniper Climate Partnership,active,clear,cleared,expired
ORG-0254,2026-03-13T10:45-07:00,1,Glenwood Community Association,active,clear,cleared,current
ORG-0352,2026-03-08T16:15-07:00,1,Juniper Community Association,active,pending,cleared,current
ORG-0436,2026-02-22T14:15-07:00,1,West Neighborhood Alliance,renewal_pending,clear,cleared,current
ORG-0368,2026-03-27T10:00-07:00,1,Northgate Climate Partnership,renewal_pending,clear,cleared,current
ORG-0069,2026-03-22T10:30-07:00,1,Kingsley Resident Council,active,clear,cleared,current
ORG-0059,2026-03-13T16:15-07:00,1,South Housing Cooperative,active,clear,cleared,current
ORG-0207,2026-02-10T14:15-07:00,1,Prairie Climate Partnership,active,pending,cleared,current
ORG-0468,2026-02-26T09:00-07:00,1,Parkview Housing Cooperative,active,pending,cleared,current
ORG-0204,2026-03-27T10:00-07:00,1,East Market Housing Cooperative,active,pending,cleared,current
ORG-0402,2026-03-09T10:45-07:00,1,Cedar Neighborhood Alliance,active,pending,cleared,current
ORG-0238,2026-03-15T10:15-07:00,1,Lincoln Community Development Network,renewal_pending,clear,cleared,current
ORG-0377,2026-02-15T09:15-07:00,1,Hillcrest Civic Collaborative,active,clear,cleared,expired
ORG-0241,2026-03-15T14:30-07:00,1,South Harbor Climate Coalition,active,clear,cleared,current
ORG-0477,2026-02-21T09:15-07:00,1,Lincoln Housing Cooperative,active,pending,cleared,current
ORG-0100,2026-03-22T15:15-07:00,1,Sherwood Community Development Network,active,clear,cleared,current
ORG-0208,2026-02-14T12:45-07:00,1,Hawthorne Civic Collaborative,active,pending,cleared,current
ORG-0438,2026-03-07T13:15-07:00,1,Yorktown Housing Cooperative,active,clear,review_open,current
ORG-0014,2026-03-09T09:15-07:00,1,Juniper Civic Collaborative,active,clear,cleared,current
ORG-0195,2026-03-04T13:00-07:00,1,Harbor Community Development Network,active,clear,cleared,current
ORG-0131,2026-03-09T09:30-07:00,1,Meadow Housing Cooperative,active,clear,cleared,current
ORG-0165,2026-03-16T16:15-07:00,1,Harbor Climate Partnership,renewal_pending,clear,cleared,expired
ORG-0364,2026-02-11T14:45-07:00,1,Brookfield Housing Cooperative,active,clear,cleared,current
ORG-0117,2026-03-17T15:15-07:00,1,Northside Urban Forestry Alliance,active,clear,cleared,current
ORG-0453,2026-03-01T15:45-07:00,1,Harborview Civic Collaborative,active,clear,cleared,expired
ORG-0171,2026-03-09T16:45-07:00,1,Ashland Resident Council,active,clear,cleared,current
ORG-0078,2026-03-01T09:15-07:00,1,University Housing Cooperative,active,clear,review_open,current
ORG-0453,2026-03-22T15:45-07:00,1,Harborview Civic Collaborative,active,clear,cleared,current
ORG-0053,2026-03-11T12:30-07:00,1,Monroe Community Development Network,active,clear,cleared,current
ORG-0423,2026-03-19T12:00-07:00,1,Kingsley Civic Collaborative,active,clear,cleared,current
ORG-0128,2026-03-10T12:30-07:00,1,Highland Civic Collaborative,active,clear,cleared,current
ORG-0452,2026-03-02T13:00-07:00,1,Oak Community Development Network,active,clear,cleared,expired
ORG-0243,2026-03-22T11:30-07:00,1,Magnolia Climate Partnership,active,clear,cleared,current
ORG-0424,2026-03-11T12:00-07:00,1,Lakewood Resident Council,active,clear,cleared,current
ORG-0262,2026-03-22T14:15-07:00,1,Woodland Community Development Network,active,clear,cleared,current
ORG-0457,2026-02-19T15:30-07:00,1,Fox Neighborhood Alliance,active,clear,cleared,current
ORG-0385,2026-03-15T16:30-07:00,1,Ashland Community Association,active,clear,cleared,current
ORG-0455,2026-03-03T14:15-07:00,1,Yorktown Community Development Network,active,clear,review_open,current
ORG-0459,2026-03-08T13:45-07:00,1,Lakewood Community Development Network,active,clear,cleared,current
ORG-0027,2026-03-27T10:00-07:00,1,Westhaven Community Development Network,renewal_pending,clear,cleared,current
ORG-0225,2026-03-10T16:00-07:00,1,Hillcrest Housing Cooperative,active,clear,cleared,current
ORG-0062,2026-03-22T14:00-07:00,1,Ashland Climate Partnership,active,clear,cleared,current
ORG-0451,2026-03-16T10:45-07:00,1,Lincoln Neighborhood Alliance,active,clear,cleared,expired
ORG-0365,2026-03-08T16:00-07:00,2,Claremont Community Association,active,clear,cleared,current
ORG-0400,2026-03-22T10:30-07:00,1,Grand Resident Council,renewal_pending,clear,cleared,current
ORG-0182,2026-03-10T11:00-07:00,1,Magnolia Climate Partnership,active,clear,cleared,expired
ORG-0396,2026-02-12T13:45-07:00,1,Kingsley Civic Collaborative,active,clear,cleared,expired
ORG-0040,2026-03-18T11:45-07:00,1,Ashland Neighborhood Alliance,active,clear,cleared,current
ORG-0125,2026-02-22T16:15-07:00,1,Maplewood Community Development Network,active,clear,cleared,current
ORG-0250,2026-03-14T15:30-07:00,1,Fox Civic Collaborative,active,clear,cleared,current
ORG-0167,2026-03-11T13:30-07:00,2,Terrace Civic Collaborative,active,clear,cleared,current
ORG-0436,2026-03-13T14:15-07:00,1,West Neighborhood Alliance,active,pending,cleared,current
ORG-0082,2026-03-21T10:45-07:00,1,Stonebridge Neighborhood Alliance,active,clear,cleared,current
ORG-0280,2026-03-15T14:45-07:00,1,Lakeside Civic Collaborative,active,clear,cleared,expired
ORG-0275,2026-02-17T12:15-07:00,1,Maplewood Resident Council,renewal_pending,clear,cleared,current
ORG-0102,2026-03-10T09:15-07:00,1,Spring Resident Council,active,clear,review_open,current
ORG-0363,2026-03-09T10:30-07:00,1,Grand Community Development Network,active,clear,review_open,current
ORG-0227,2026-03-11T11:30-07:00,1,Magnolia Civic Collaborative,active,clear,cleared,current
ORG-0209,2026-03-20T10:00-07:00,1,University Community Development Network,active,clear,cleared,current
ORG-0137,2026-03-19T13:45-07:00,1,Yorktown Civic Collaborative,active,clear,cleared,current
ORG-0222,2026-03-18T11:45-07:00,1,Fox Neighborhood Alliance,active,clear,cleared,current
ORG-0460,2026-03-08T15:45-07:00,1,Lakeside Climate Partnership,renewal_pending,clear,cleared,current
ORG-0371,2026-03-20T16:15-07:00,1,Harborview Neighborhood Alliance,active,clear,cleared,current
ORG-0103,2026-03-08T10:45-07:00,2,Pleasant Community Association,active,clear,cleared,current
ORG-0019,2026-03-07T11:45-07:00,1,Juniper Climate Partnership,active,clear,cleared,current
ORG-0458,2026-03-22T14:45-07:00,2,Fairview Community Association,active,clear,cleared,current
ORG-0106,2026-03-19T09:15-07:00,1,Fox Community Association,active,clear,cleared,current
ORG-0216,2026-03-10T16:45-07:00,1,College Civic Collaborative,active,clear,cleared,current
ORG-0461,2026-02-12T09:15-07:00,1,Grand Civic Collaborative,active,pending,cleared,current
ORG-0383,2026-02-16T10:15-07:00,1,Civic Community Association,active,clear,review_open,current
ORG-0463,2026-03-01T11:00-07:00,1,Cedar Resident Council,active,clear,review_open,current
ORG-0386,2026-02-25T12:15-07:00,1,Northgate Neighborhood Alliance,active,pending,cleared,current
ORG-0203,2026-02-27T10:00-07:00,1,Eastwood Community Development Network,active,clear,cleared,current
ORG-0259,2026-02-24T13:45-07:00,1,Laurel Community Development Network,renewal_pending,clear,cleared,current
ORG-0248,2026-03-13T12:45-07:00,1,Lakeside Neighborhood Alliance,active,clear,cleared,current
ORG-0332,2026-03-12T09:30-07:00,1,Lakeside Community Land Trust,active,clear,cleared,current
ORG-0158,2026-03-27T10:00-07:00,1,Kingston Climate Partnership,active,pending,cleared,current
ORG-0103,2026-03-08T10:45-07:00,1,Pleasant Community Association,active,pending,cleared,current
ORG-0379,2026-03-08T15:00-07:00,1,Stonebridge Housing Cooperative,active,clear,review_open,current
ORG-0433,2026-03-18T11:00-07:00,1,Meadow Community Association,active,pending,cleared,current
ORG-0409,2026-03-05T15:15-07:00,1,Highland Community Development Network,active,pending,cleared,current
ORG-0116,2026-03-16T12:45-07:00,1,Rosewood Housing Cooperative,active,clear,cleared,current
ORG-0415,2026-02-28T15:00-07:00,1,Elmwood Resident Council,active,clear,review_open,current
ORG-0446,2026-03-15T12:00-07:00,1,Elmwood Resident Council,active,clear,cleared,expired
ORG-0194,2026-02-18T16:00-07:00,1,Eastwood Community Development Network,active,clear,review_open,current
ORG-0376,2026-03-15T12:45-07:00,1,Yorktown Housing Cooperative,active,clear,cleared,current
ORG-0375,2026-02-19T13:30-07:00,1,Brookfield Housing Cooperative,renewal_pending,clear,cleared,current
ORG-0381,2026-03-03T16:00-07:00,1,Lakeside Climate Partnership,renewal_pending,clear,cleared,current
ORG-0231,2026-03-02T09:30-07:00,1,Crescent Housing Cooperative,active,clear,review_open,current
ORG-0414,2026-03-22T09:15-07:00,1,West Neighborhood Alliance,active,clear,cleared,current
ORG-0260,2026-03-15T11:30-07:00,1,Maplewood Civic Collaborative,active,clear,cleared,current
ORG-0445,2026-03-21T13:00-07:00,1,Lakeside Climate Partnership,active,clear,cleared,expired
ORG-0346,2026-03-15T09:00-07:00,1,Yorktown Climate Partnership,active,clear,cleared,current
ORG-0146,2026-03-12T12:15-07:00,1,Highland Housing Cooperative,active,clear,cleared,current
ORG-0217,2026-03-18T13:45-07:00,1,Lincoln Community Development Network,renewal_pending,clear,cleared,current
ORG-0269,2026-02-25T16:30-07:00,1,Old Community Association,active,pending,cleared,current
ORG-0057,2026-03-13T10:30-07:00,1,Prairie Community Association,active,clear,cleared,current
ORG-0270,2026-03-11T15:15-07:00,1,Terrace Civic Collaborative,active,clear,cleared,current
ORG-0110,2026-03-12T09:45-07:00,1,New Civic Collaborative,active,clear,cleared,current
ORG-0161,2026-03-08T15:45-07:00,1,Orchard Climate Partnership,active,clear,cleared,current
ORG-0264,2026-03-16T16:15-07:00,2,Rosewood Civic Collaborative,active,clear,cleared,current
ORG-0068,2026-02-05T10:15-07:00,1,Lakeside Housing Cooperative,active,pending,cleared,current
ORG-0390,2026-03-13T14:00-07:00,1,Ashland Neighborhood Alliance,active,clear,cleared,current
ORG-0011,2026-03-09T11:00-07:00,1,Ashland Community Association,active,clear,cleared,current
ORG-0432,2026-03-03T12:30-07:00,1,Northgate Housing Cooperative,active,clear,cleared,current
ORG-0266,2026-03-20T16:45-07:00,1,Cedar Grove Tenant Council,active,clear,cleared,expired
ORG-0458,2026-03-27T10:00-07:00,1,Fairview Community Association,renewal_pending,clear,cleared,current
ORG-0027,2026-03-07T13:30-07:00,1,Westhaven Community Development Network,active,clear,review_open,current
ORG-0078,2026-03-18T09:15-07:00,1,University Housing Cooperative,active,clear,cleared,current
ORG-0399,2026-03-08T10:30-07:00,1,Stonebridge Housing Cooperative,active,clear,cleared,current
ORG-0199,2026-03-12T13:45-07:00,1,Northgate Climate Partnership,active,clear,cleared,current
ORG-0479,2026-02-08T13:00-07:00,1,Willow Climate Partnership,active,clear,review_open,current
ORG-0342,2026-03-15T09:30-07:00,1,Oak Resident Council,active,clear,cleared,current
ORG-0348,2026-03-01T14:45-07:00,1,Stonebridge Civic Collaborative,active,clear,review_open,current
ORG-0384,2026-03-17T12:15-07:00,1,Riverside Climate Partnership,active,clear,cleared,current
ORG-0415,2026-03-21T15:00-07:00,1,Elmwood Resident Council,active,clear,cleared,current
ORG-0436,2026-03-13T14:15-07:00,2,West Neighborhood Alliance,active,clear,cleared,current
ORG-0221,2026-03-16T14:15-07:00,1,Clearwater Resident Council,active,clear,cleared,current
ORG-0030,2026-03-09T16:30-07:00,1,University Community Development Network,active,clear,cleared,current
ORG-0478,2026-03-27T10:00-07:00,1,Northgate Neighborhood Alliance,active,clear,review_open,current
ORG-0074,2026-03-15T16:30-07:00,1,Laurel Resident Council,active,clear,cleared,current
ORG-0175,2026-03-19T15:45-07:00,1,Meadow Resident Council,active,clear,cleared,current
ORG-0108,2026-03-09T09:15-07:00,1,Clearwater Resident Council,active,clear,cleared,current
ORG-0144,2026-03-12T15:30-07:00,1,Hillcrest Civic Collaborative,active,pending,cleared,current
ORG-0398,2026-03-18T10:00-07:00,1,Glen Community Development Network,active,clear,cleared,expired
ORG-0408,2026-03-09T14:30-07:00,1,Elmwood Community Association,active,clear,cleared,current
ORG-0170,2026-02-22T12:00-07:00,1,Maplewood Housing Cooperative,renewal_pending,clear,cleared,current
ORG-0476,2026-02-25T16:00-07:00,1,Glen Neighborhood Alliance,active,clear,review_open,current
ORG-0420,2026-03-21T13:45-07:00,1,Fox Housing Cooperative,active,clear,cleared,current
ORG-0180,2026-02-17T15:00-07:00,1,Westhaven Community Association,active,clear,review_open,current
ORG-0122,2026-03-16T09:15-07:00,1,Juniper Housing Cooperative,active,clear,cleared,current
ORG-0041,2026-03-22T09:15-07:00,1,Hawthorne Climate Partnership,active,clear,review_open,current
ORG-0448,2026-03-19T12:30-07:00,2,Willow Climate Partnership,active,clear,cleared,current
ORG-0124,2026-03-15T14:00-07:00,1,Eastwood Civic Collaborative,active,clear,cleared,current
ORG-0035,2026-03-05T15:30-07:00,1,Bayview Neighborhood Alliance,active,clear,cleared,expired
ORG-0382,2026-03-12T14:45-07:00,1,Cedar Community Development Network,active,clear,cleared,current
ORG-0160,2026-03-10T13:00-07:00,1,Maplewood Community Association,renewal_pending,clear,cleared,current
ORG-0341,2026-03-18T09:30-07:00,1,Kingsley Climate Partnership,active,clear,cleared,current
ORG-0342,2026-03-27T10:00-07:00,1,Oak Resident Council,active,clear,cleared,expired
ORG-0446,2026-02-22T12:00-07:00,1,Elmwood Resident Council,active,clear,cleared,current
ORG-0194,2026-03-10T16:00-07:00,1,Eastwood Community Development Network,active,clear,cleared,current
ORG-0099,2026-03-18T11:45-07:00,1,Sherwood Neighborhood Alliance,active,clear,cleared,current
ORG-0249,2026-03-11T13:45-07:00,1,Parkside Community Association,active,clear,cleared,current
ORG-0270,2026-03-27T10:00-07:00,1,Terrace Civic Collaborative,active,clear,review_open,current
ORG-0070,2026-03-08T09:45-07:00,1,Terrace Climate Partnership,active,clear,cleared,expired
ORG-0128,2026-02-14T12:30-07:00,1,Highland Civic Collaborative,active,clear,review_open,current
ORG-0216,2026-02-13T16:45-07:00,1,College Civic Collaborative,active,clear,review_open,current
ORG-0002,2026-03-03T12:45-07:00,1,Sherwood Resident Council,active,clear,review_open,current
ORG-0451,2026-03-27T10:00-07:00,1,Lincoln Neighborhood Alliance,renewal_pending,clear,cleared,expired
ORG-0407,2026-02-22T10:30-07:00,1,Grand Civic Collaborative,active,clear,review_open,current
ORG-0421,2026-03-18T11:00-07:00,1,Pinehurst Civic Collaborative,active,clear,cleared,current
ORG-0210,2026-02-28T12:45-07:00,1,Jefferson Housing Cooperative,renewal_pending,clear,cleared,current
ORG-0179,2026-03-03T13:45-07:00,1,College Resident Council,renewal_pending,clear,cleared,current
ORG-0451,2026-02-13T10:45-07:00,1,Lincoln Neighborhood Alliance,active,clear,cleared,current
ORG-0210,2026-03-11T12:45-07:00,1,Jefferson Housing Cooperative,active,clear,cleared,current
ORG-0071,2026-03-27T10:00-07:00,1,University Housing Cooperative,active,clear,review_open,current
ORG-0393,2026-03-22T13:00-07:00,1,Glen Community Development Network,active,clear,cleared,current
ORG-0161,2026-03-18T15:45-07:00,1,Orchard Climate Partnership,active,clear,review_open,current
ORG-0344,2026-02-15T10:00-07:00,1,Lincoln Community Association,active,clear,cleared,current
ORG-0474,2026-02-23T14:30-07:00,1,Stonebridge Housing Cooperative,renewal_pending,clear,cleared,current
