application_id,review_stage,review_status,score,community_priority,equity_score,reviewed_at,review_version,panel_code
A26-4793,final,complete,91,82,88,2026-03-14T12:00-07:00,2,P-D
A26-5172,screening,complete,55,77,78,2026-03-03T11:00-08:00,1,P-D
A26-5573,final,complete,87,71,80,2026-03-09T15:40-07:00,1,P-C
A26-5095,final,complete,89,97,89,2026-03-21T16:00-07:00,1,P-A
A26-8425,screening,complete,89,89,91,2026-03-02T12:00-08:00,1,P-C
A26-1673,final,complete,78,87,74,2026-03-09T14:40-07:00,1,P-C
A26-5102,screening,complete,91,81,97,2026-03-07T13:00-08:00,1,P-D
A26-2660,final,complete,88,79,97,2026-03-19T17:00-07:00,1,P-D
A26-0685,final,complete,76,75,75,2026-03-12T09:20-07:00,1,P-D
A26-1133,screening,complete,60,87,64,2026-03-01T16:00-08:00,1,P-D
A26-6752,screening,complete,97,69,72,2026-03-01T15:00-08:00,1,P-B
A26-2233,final,complete,84,99,92,2026-03-14T16:40-07:00,1,P-D
A26-8681,final,complete,71,91,68,2026-03-14T11:00-07:00,1,P-A
A26-1881,final,complete,83,91,85,2026-03-18T10:20-07:00,1,P-D
A26-5143,screening,complete,87,65,82,2026-03-05T12:00-08:00,1,P-C
A26-5027,final,complete,93,92,83,2026-03-13T17:00-07:00,1,P-A
A26-5028,final,complete,73,82,81,2026-03-18T10:00-07:00,1,P-C
A26-2224,screening,complete,84,72,68,2026-03-06T09:00-08:00,1,P-C
A26-5166,final,complete,81,95,91,2026-03-20T12:00-07:00,1,P-D
A26-5081,final,pending,73,73,96,2026-03-16T09:00-07:00,1,P-C
A26-6031,final,complete,88,97,76,2026-03-21T17:00-07:00,1,P-A
A26-6723,final,complete,95,74,71,2026-03-28T11:00-07:00,1,P-D
A26-5021,screening,complete,96,68,73,2026-03-06T15:00-08:00,1,P-C
A26-3873,screening,complete,64,99,89,2026-03-06T15:00-08:00,1,P-B
A26-5024,final,complete,80,95,71,2026-03-20T17:20-07:00,2,P-D
A26-5030,final,complete,75,96,72,2026-03-16T11:00-07:00,1,P-C
A26-9218,screening,complete,94,73,90,2026-03-02T14:00-08:00,1,P-A
A26-1258,final,complete,73,91,83,2026-03-28T11:00-07:00,1,P-D
A26-5076,final,complete,71,87,87,2026-03-13T17:20-07:00,1,P-A
A26-2888,final,complete,73,89,90,2026-03-16T12:00-07:00,1,P-C
A26-7987,final,complete,99,80,91,2026-03-10T16:40-07:00,1,P-D
A26-5092,screening,complete,73,94,68,2026-03-01T14:00-08:00,1,P-B
A26-2224,final,complete,77,76,70,2026-03-15T15:20-07:00,1,P-B
A26-9690,screening,complete,73,90,92,2026-03-07T14:00-08:00,1,P-B
A26-2331,final,complete,93,94,97,2026-03-21T15:40-07:00,1,P-B
A26-8698,screening,complete,56,77,66,2026-03-08T09:00-08:00,1,P-D
A26-5101,screening,complete,92,89,93,2026-03-01T14:00-08:00,1,P-A
A26-4054,final,complete,92,98,91,2026-03-28T11:00-07:00,1,P-D
A26-0932,final,complete,79,76,79,2026-03-08T10:00-07:00,1,P-B
A26-7923,final,pending,79,74,83,2026-03-17T17:00-07:00,1,P-D
A26-1265,screening,complete,57,68,67,2026-03-04T11:00-08:00,1,P-D
A26-5675,final,complete,93,93,77,2026-03-15T17:00-07:00,1,P-A
A26-7380,final,complete,75,78,72,2026-03-17T12:20-07:00,1,P-C
A26-5105,screening,complete,96,74,75,2026-03-03T10:00-08:00,1,P-B
A26-5025,screening,complete,66,79,60,2026-03-03T09:00-08:00,1,P-D
A26-0361,final,complete,74,78,71,2026-03-18T17:00-07:00,1,P-D
A26-8910,screening,complete,83,74,88,2026-03-03T14:00-08:00,1,P-A
A26-6298,final,complete,72,90,97,2026-03-18T15:00-07:00,1,P-D
A26-8803,screening,complete,72,88,98,2026-03-02T09:00-08:00,1,P-C
A26-2711,screening,complete,,97,83,2026-03-01T10:00-08:00,1,P-C
A26-5400,final,complete,96,82,70,2026-03-11T11:20-07:00,1,P-A
A26-3833,screening,complete,95,89,88,2026-03-03T13:00-08:00,1,P-D
A26-2211,final,complete,83,98,75,2026-03-18T17:20-07:00,1,P-B
A26-4394,screening,complete,88,86,67,2026-03-08T13:00-08:00,1,P-B
A26-0715,final,complete,74,96,72,2026-03-16T12:40-07:00,1,P-A
A26-4060,screening,complete,72,77,77,2026-03-04T15:00-08:00,1,P-A
A26-3326,screening,complete,62,92,97,2026-03-04T14:00-08:00,1,P-D
A26-7117,screening,complete,75,65,71,2026-03-07T09:00-08:00,1,P-D
A26-5122,final,complete,75,75,70,2026-03-18T17:00-07:00,1,P-C
A26-9115,final,complete,74,81,82,2026-03-21T16:20-07:00,1,P-D
A26-4862,screening,complete,79,95,79,2026-03-07T13:00-08:00,1,P-B
A26-4057,final,complete,99,73,91,2026-03-19T15:20-07:00,1,P-B
A26-7784,screening,complete,60,78,84,2026-03-03T15:00-08:00,1,P-C
A26-0632,final,complete,,94,88,2026-03-11T09:20-07:00,1,P-C
A26-1430,screening,complete,83,71,80,2026-03-05T12:00-08:00,1,P-C
A26-0309,final,complete,74,89,74,2026-03-15T16:40-07:00,1,P-B
A26-4608,final,complete,83,96,87,2026-03-16T14:20-07:00,1,P-D
A26-2531,final,complete,89,94,93,2026-03-28T11:00-07:00,1,P-D
A26-1814,final,complete,83,72,78,2026-03-23T15:40-07:00,1,P-D
A26-4993,final,complete,75,75,84,2026-03-28T11:00-07:00,1,P-D
A26-9295,screening,complete,57,65,66,2026-03-02T15:00-08:00,1,P-A
A26-3179,final,complete,93,93,95,2026-03-16T10:20-07:00,1,P-B
A26-7651,final,complete,98,69,95,2026-03-21T11:00-07:00,1,P-D
A26-1357,final,pending,79,94,70,2026-03-12T09:20-07:00,1,P-C
A26-8259,screening,complete,94,92,93,2026-03-04T12:00-08:00,1,P-B
A26-4737,final,complete,72,78,84,2026-03-12T15:20-07:00,1,P-C
A26-9486,final,complete,78,94,77,2026-03-20T09:00-07:00,2,P-C
A26-8764,final,complete,93,85,87,2026-03-17T15:20-07:00,1,P-A
A26-3873,final,complete,89,94,76,2026-03-13T10:00-07:00,1,P-D
A26-5052,screening,complete,55,69,93,2026-03-03T09:00-08:00,1,P-D
A26-5095,final,complete,81,98,85,2026-03-23T16:00-07:00,1,P-C
A26-9984,final,complete,86,83,75,2026-03-16T15:40-07:00,2,P-C
A26-6289,screening,complete,90,92,90,2026-03-05T13:00-08:00,1,P-D
A26-5152,final,complete,76,80,82,2026-03-15T16:40-07:00,1,P-A
A26-5103,final,complete,72,87,81,2026-03-16T10:20-07:00,1,P-D
A26-1358,final,complete,94,77,97,2026-03-13T14:40-07:00,1,P-A
A26-2525,final,complete,89,78,87,2026-03-15T15:00-07:00,1,P-C
A26-5046,final,complete,82,81,71,2026-03-13T16:20-07:00,1,P-C
A26-1289,screening,complete,69,92,83,2026-03-01T11:00-08:00,1,P-A
A26-8260,screening,complete,70,96,93,2026-03-02T16:00-08:00,1,P-B
A26-7987,screening,complete,90,66,91,2026-03-06T16:00-08:00,1,P-D
A26-1995,screening,complete,83,98,73,2026-03-03T16:00-08:00,1,P-C
A26-5067,screening,complete,76,96,63,2026-03-07T10:00-08:00,1,P-D
A26-5125,screening,complete,70,80,71,2026-03-07T12:00-08:00,1,P-B
A26-8576,final,complete,87,79,99,2026-03-18T15:20-07:00,1,P-C
A26-8474,final,complete,85,81,82,2026-03-28T11:00-07:00,1,P-D
A26-1206,final,complete,90,81,97,2026-03-22T13:00-07:00,1,P-B
A26-5054,final,complete,93,76,86,2026-03-21T10:00-07:00,1,P-A
A26-3079,final,complete,79,93,73,2026-03-22T12:40-07:00,1,P-B
A26-3114,final,complete,77,95,96,2026-03-14T17:20-07:00,1,P-C
A26-1455,final,complete,,98,99,2026-03-19T15:40-07:00,1,P-D
A26-3080,final,complete,86,88,92,2026-03-13T12:20-07:00,1,P-B
A26-5029,final,complete,74,90,77,2026-03-23T10:40-07:00,1,P-A
A26-5083,screening,complete,74,65,82,2026-03-07T09:00-08:00,1,P-B
A26-9935,final,complete,90,80,73,2026-03-17T16:40-07:00,1,P-C
A26-1237,screening,complete,94,82,62,2026-03-02T14:00-08:00,1,P-B
A26-5681,screening,complete,58,71,69,2026-03-02T13:00-08:00,1,P-A
A26-8576,final,complete,92,80,97,2026-03-19T15:20-07:00,1,P-C
A26-5046,screening,complete,81,67,88,2026-03-05T13:00-08:00,1,P-A
A26-4388,final,complete,93,94,94,2026-03-18T14:00-07:00,1,P-A
A26-1548,screening,complete,77,71,69,2026-03-08T13:00-08:00,1,P-A
A26-5026,final,complete,92,95,77,2026-03-15T13:40-07:00,1,P-A
A26-5032,screening,complete,73,70,70,2026-03-02T14:00-08:00,1,P-B
A26-5022,screening,complete,85,83,75,2026-03-05T10:00-08:00,1,P-B
A26-9933,screening,complete,62,82,70,2026-03-04T12:00-08:00,1,P-B
A26-1265,final,complete,93,74,95,2026-03-14T17:00-07:00,1,P-A
A26-6401,final,complete,84,88,87,2026-03-10T17:20-07:00,1,P-D
A26-5073,screening,complete,60,82,63,2026-03-06T16:00-08:00,1,P-A
A26-2275,final,complete,76,78,72,2026-03-22T13:20-07:00,1,P-B
A26-3426,screening,complete,63,73,72,2026-03-08T09:00-08:00,1,P-A
A26-1358,final,complete,88,74,96,2026-03-16T14:40-07:00,1,P-D
A26-1817,final,complete,83,93,93,2026-03-14T14:20-07:00,2,P-D
A26-1934,screening,complete,61,88,75,2026-03-06T11:00-08:00,1,P-A
A26-1970,final,complete,98,87,80,2026-03-28T11:00-07:00,1,P-D
A26-4333,final,complete,70,89,92,2026-03-14T16:00-07:00,1,P-B
A26-0600,final,complete,79,75,80,2026-03-18T14:20-07:00,1,P-C
A26-2861,final,complete,91,72,72,2026-03-18T16:40-07:00,1,P-C
A26-5113,final,complete,66,75,87,2026-03-17T12:40-07:00,1,P-C
A26-5048,screening,complete,95,77,63,2026-03-02T11:00-08:00,1,P-A
A26-6587,screening,complete,86,98,76,2026-03-03T16:00-08:00,1,P-A
A26-7528,final,complete,92,90,72,2026-03-22T11:20-07:00,2,P-D
A26-5055,final,complete,78,73,81,2026-03-19T15:40-07:00,1,P-C
A26-1505,final,complete,86,91,92,2026-03-12T09:00-07:00,2,P-C
A26-8014,final,complete,77,97,85,2026-03-28T11:00-07:00,1,P-D
A26-5077,screening,complete,74,89,94,2026-03-07T14:00-08:00,1,P-D
A26-6375,final,pending,91,92,75,2026-03-15T11:20-07:00,1,P-D
A26-1830,final,complete,85,74,96,2026-03-23T15:00-07:00,1,P-C
A26-5040,final,complete,72,88,79,2026-03-11T10:00-07:00,1,P-A
A26-5021,final,complete,83,93,81,2026-03-17T09:40-07:00,1,P-B
A26-5178,final,complete,72,77,87,2026-03-18T16:40-07:00,1,P-C
A26-5079,final,complete,79,96,74,2026-03-18T14:20-07:00,1,P-B
A26-5080,final,complete,92,97,89,2026-03-15T12:20-07:00,1,P-D
A26-5115,screening,complete,95,87,93,2026-03-02T12:00-08:00,1,P-B
A26-5032,final,complete,96,75,82,2026-03-18T12:40-07:00,1,P-A
A26-3114,final,complete,75,96,97,2026-03-17T17:20-07:00,1,P-B
A26-2606,final,complete,80,98,92,2026-03-19T16:00-07:00,1,P-D
A26-5143,final,complete,75,74,91,2026-03-20T12:20-07:00,1,P-C
A26-5123,screening,complete,70,89,92,2026-03-01T10:00-08:00,1,P-A
A26-8731,screening,complete,96,80,86,2026-03-05T16:00-08:00,1,P-B
A26-8931,final,complete,74,80,93,2026-03-12T17:20-07:00,1,P-C
A26-5166,screening,complete,69,78,73,2026-03-01T10:00-08:00,1,P-A
A26-6965,final,complete,74,80,75,2026-03-17T10:40-07:00,1,P-A
A26-2531,final,complete,93,94,93,2026-03-15T10:00-07:00,1,P-A
A26-0135,final,complete,76,96,83,2026-03-14T16:20-07:00,1,P-C
A26-8689,screening,complete,69,82,77,2026-03-04T09:00-08:00,1,P-D
A26-4951,final,complete,85,88,93,2026-03-12T09:00-07:00,1,P-B
A26-5004,final,complete,80,76,89,2026-03-13T12:00-07:00,1,P-D
A26-0896,screening,complete,60,92,67,2026-03-05T11:00-08:00,1,P-B
A26-2800,final,complete,80,91,94,2026-03-17T13:20-07:00,1,P-D
A26-0126,screening,complete,91,78,67,2026-03-01T12:00-08:00,1,P-C
A26-5173,final,complete,88,74,98,2026-03-18T11:00-07:00,1,P-C
A26-6215,final,complete,87,86,97,2026-03-16T15:20-07:00,1,P-C
A26-5152,screening,complete,88,65,70,2026-03-03T09:00-08:00,1,P-B
A26-0328,final,complete,83,91,89,2026-03-11T13:00-07:00,1,P-D
A26-5045,screening,complete,93,98,83,2026-03-04T13:00-08:00,1,P-C
A26-7535,final,complete,89,98,84,2026-03-18T13:00-07:00,1,P-C
A26-9855,screening,complete,81,90,72,2026-03-03T09:00-08:00,1,P-C
A26-5062,final,complete,80,93,83,2026-03-19T09:40-07:00,1,P-C
A26-5089,final,complete,78,95,88,2026-03-18T17:00-07:00,1,P-B
A26-3405,final,complete,78,85,88,2026-03-13T10:20-07:00,2,P-C
A26-5074,final,complete,92,97,94,2026-03-28T11:00-07:00,1,P-D
A26-8285,screening,complete,89,88,99,2026-03-01T14:00-08:00,1,P-D
A26-5125,final,complete,94,96,76,2026-03-14T09:00-07:00,1,P-C
A26-2486,final,complete,87,73,79,2026-03-12T10:00-07:00,1,P-A
A26-5442,screening,complete,98,75,88,2026-03-06T09:00-08:00,1,P-C
A26-5030,screening,complete,90,68,82,2026-03-07T13:00-08:00,1,P-D
A26-5132,screening,complete,97,79,94,2026-03-06T09:00-08:00,1,P-D
A26-3080,screening,complete,85,76,93,2026-03-07T10:00-08:00,1,P-A
A26-8770,final,pending,89,73,89,2026-03-18T14:20-07:00,1,P-D
A26-5021,final,complete,80,89,78,2026-03-11T09:40-07:00,1,P-D
A26-5049,final,complete,82,97,82,2026-03-21T11:00-07:00,1,P-C
A26-8205,screening,complete,87,77,73,2026-03-02T11:00-08:00,1,P-D
A26-5144,screening,complete,66,99,91,2026-03-04T09:00-08:00,1,P-B
A26-3405,final,complete,75,85,88,2026-03-13T10:20-07:00,1,P-D
A26-2157,final,complete,80,81,98,2026-03-19T17:40-07:00,1,P-A
A26-1579,screening,complete,96,87,75,2026-03-08T11:00-08:00,1,P-A
A26-8836,final,complete,86,83,84,2026-03-19T14:40-07:00,1,P-C
A26-9855,final,complete,89,96,80,2026-03-12T16:00-07:00,1,P-B
A26-6046,screening,complete,62,66,92,2026-03-05T11:00-08:00,1,P-D
A26-1175,final,complete,85,95,78,2026-03-12T16:00-07:00,1,P-C
A26-1430,final,complete,94,94,91,2026-03-28T11:00-07:00,1,P-D
A26-5013,final,complete,77,97,83,2026-03-14T15:00-07:00,1,P-B
A26-6298,final,complete,74,93,97,2026-03-15T15:00-07:00,1,P-D
A26-8425,final,complete,78,99,91,2026-03-11T09:00-07:00,1,P-A
A26-9698,final,complete,93,75,91,2026-03-14T12:40-07:00,1,P-A
A26-1358,screening,complete,55,68,68,2026-03-04T11:00-08:00,1,P-B
A26-0335,final,complete,88,80,82,2026-03-21T11:00-07:00,1,P-A
A26-5072,screening,complete,94,92,80,2026-03-02T12:00-08:00,1,P-B
A26-5182,screening,complete,74,83,61,2026-03-08T10:00-08:00,1,P-C
A26-2239,screening,complete,90,75,69,2026-03-01T16:00-08:00,1,P-A
A26-5108,final,complete,75,74,75,2026-03-16T17:40-07:00,1,P-D
A26-5970,screening,complete,97,65,65,2026-03-04T16:00-08:00,1,P-C
A26-9016,final,complete,81,92,89,2026-03-05T14:40-07:00,1,P-A
A26-1154,screening,complete,85,71,94,2026-03-06T14:00-08:00,1,P-A
A26-5139,screening,complete,72,79,84,2026-03-08T12:00-08:00,1,P-B
A26-0536,final,pending,74,85,81,2026-03-21T09:00-07:00,1,P-D
A26-4142,screening,complete,74,84,80,2026-03-01T15:00-08:00,1,P-C
A26-3080,final,complete,92,85,96,2026-03-07T12:20-07:00,1,P-B
A26-5893,final,pending,72,76,86,2026-03-14T13:20-07:00,1,P-A
A26-0003,final,complete,72,72,87,2026-03-21T09:40-07:00,2,P-D
A26-6165,screening,complete,88,68,66,2026-03-01T10:00-08:00,1,P-D
A26-1695,screening,complete,56,90,74,2026-03-05T11:00-08:00,1,P-C
A26-5033,final,complete,74,95,82,2026-03-22T16:00-07:00,1,P-D
A26-5165,final,complete,90,82,98,2026-03-17T15:40-07:00,2,P-D
A26-5105,final,complete,85,89,89,2026-03-06T17:40-07:00,1,P-D
A26-8029,screening,complete,87,70,80,2026-03-03T15:00-08:00,1,P-B
A26-5118,final,complete,87,95,80,2026-03-21T09:40-07:00,1,P-C
A26-8689,final,complete,94,97,96,2026-03-28T11:00-07:00,1,P-D
A26-1001,final,complete,81,85,68,2026-03-12T12:20-07:00,1,P-D
A26-6359,final,complete,91,79,94,2026-03-16T10:00-07:00,1,P-B
A26-2244,final,complete,,91,90,2026-03-17T10:20-07:00,1,P-C
A26-5025,final,complete,83,87,93,2026-03-18T09:40-07:00,1,P-B
A26-8764,screening,complete,60,69,83,2026-03-04T12:00-08:00,1,P-B
A26-5029,screening,complete,65,84,77,2026-03-05T11:00-08:00,1,P-B
A26-6965,screening,complete,69,88,95,2026-03-06T14:00-08:00,1,P-A
A26-3929,screening,complete,95,99,81,2026-03-03T09:00-08:00,1,P-B
A26-6094,screening,complete,56,68,95,2026-03-05T11:00-08:00,1,P-A
A26-9624,final,complete,99,79,84,2026-03-15T09:00-07:00,1,P-A
A26-5059,final,complete,77,74,70,2026-03-20T12:00-07:00,1,P-B
A26-5031,final,complete,84,75,93,2026-03-18T16:40-07:00,1,P-D
A26-1244,final,complete,82,92,84,2026-03-16T13:40-07:00,1,P-A
A26-4531,screening,complete,77,74,89,2026-03-01T15:00-08:00,1,P-D
A26-5373,screening,complete,65,89,87,2026-03-08T10:00-08:00,1,P-D
A26-4985,final,complete,82,80,91,2026-03-10T15:00-07:00,1,P-A
A26-3419,screening,complete,96,81,69,2026-03-04T15:00-08:00,1,P-C
A26-4060,final,complete,75,94,85,2026-03-20T09:20-07:00,1,P-D
A26-5573,final,complete,87,72,76,2026-03-12T15:40-07:00,1,P-D
A26-7528,screening,complete,96,86,81,2026-03-06T14:00-08:00,1,P-A
A26-5136,final,complete,89,76,85,2026-03-21T11:20-07:00,1,P-B
A26-3614,screening,complete,78,99,95,2026-03-08T16:00-08:00,1,P-A
A26-0304,final,complete,68,90,83,2026-03-19T12:00-07:00,1,P-D
A26-5490,final,complete,94,89,99,2026-03-13T13:00-07:00,1,P-A
A26-5045,final,complete,86,95,78,2026-03-16T10:20-07:00,1,P-B
A26-5400,final,complete,93,84,73,2026-03-15T11:20-07:00,2,P-A
A26-2370,final,complete,,92,95,2026-03-11T17:20-07:00,1,P-C
A26-9305,final,pending,79,94,70,2026-03-14T15:00-07:00,1,P-B
A26-5038,final,complete,95,90,79,2026-03-16T14:20-07:00,1,P-B
A26-5032,final,complete,91,73,84,2026-03-21T12:40-07:00,1,P-D
A26-8199,final,complete,81,80,86,2026-03-22T11:00-07:00,1,P-C
A26-0399,final,complete,72,83,94,2026-03-13T15:40-07:00,1,P-C
A26-7021,final,complete,82,90,76,2026-03-19T16:00-07:00,1,P-D
A26-1447,final,complete,88,74,70,2026-03-14T14:20-07:00,1,P-A
A26-6375,screening,complete,96,73,81,2026-03-03T16:00-08:00,1,P-D
A26-5970,final,complete,84,92,92,2026-03-14T16:00-07:00,1,P-C
A26-5144,final,pending,90,85,70,2026-03-21T13:00-07:00,1,P-C
A26-5114,final,complete,84,85,85,2026-03-15T13:00-07:00,1,P-C
A26-5151,final,complete,75,94,93,2026-03-20T15:40-07:00,1,P-B
A26-5088,screening,complete,70,74,86,2026-03-07T09:00-08:00,1,P-A
A26-6067,screening,complete,92,87,69,2026-03-07T16:00-08:00,1,P-A
A26-5239,final,complete,84,72,90,2026-03-13T12:00-07:00,2,P-A
A26-5147,final,complete,86,84,88,2026-03-16T17:00-07:00,1,P-D
A26-8770,screening,complete,80,69,73,2026-03-08T13:00-08:00,1,P-C
A26-3815,screening,complete,87,87,64,2026-03-08T12:00-08:00,1,P-C
A26-1258,final,complete,77,91,83,2026-03-12T17:00-07:00,1,P-C
A26-8896,screening,complete,68,84,81,2026-03-06T15:00-08:00,1,P-C
A26-5014,screening,complete,56,94,83,2026-03-02T15:00-08:00,1,P-C
A26-5126,screening,complete,62,67,69,2026-03-02T09:00-08:00,1,P-B
A26-1548,final,complete,81,86,94,2026-03-15T14:00-07:00,1,P-A
A26-8259,final,complete,82,78,83,2026-03-18T11:20-07:00,1,P-A
A26-2660,screening,complete,59,68,80,2026-03-03T14:00-08:00,1,P-A
A26-0201,screening,complete,80,67,99,2026-03-07T16:00-08:00,1,P-C
A26-5114,screening,complete,61,97,69,2026-03-05T09:00-08:00,1,P-B
A26-2861,final,complete,85,72,73,2026-03-10T16:40-07:00,1,P-D
A26-5121,final,complete,84,87,82,2026-03-28T11:00-07:00,1,P-D
A26-1502,screening,complete,72,93,62,2026-03-05T14:00-08:00,1,P-B
A26-5105,final,complete,86,91,86,2026-03-14T17:40-07:00,1,P-A
A26-2370,screening,complete,,83,90,2026-03-01T09:00-08:00,1,P-A
A26-5040,final,complete,76,91,78,2026-03-15T10:00-07:00,1,P-A
A26-0737,final,complete,72,83,90,2026-03-17T12:40-07:00,1,P-C
A26-3823,final,complete,84,75,84,2026-03-10T17:40-07:00,1,P-B
A26-0307,final,complete,88,78,93,2026-03-14T11:40-07:00,1,P-D
A26-5092,final,complete,86,85,87,2026-03-22T12:00-07:00,1,P-B
A26-5102,final,complete,80,98,81,2026-03-21T17:00-07:00,1,P-B
A26-1934,final,complete,84,86,90,2026-03-23T13:40-07:00,1,P-C
A26-5128,final,complete,76,88,93,2026-03-10T16:20-07:00,1,P-D
A26-6127,screening,complete,61,93,85,2026-03-01T09:00-08:00,1,P-B
A26-6067,final,complete,75,94,80,2026-03-23T12:20-07:00,1,P-A
A26-0335,final,complete,90,81,84,2026-03-15T11:00-07:00,1,P-C
A26-0044,final,complete,83,82,82,2026-03-14T09:40-07:00,1,P-C
A26-5127,screening,complete,56,66,65,2026-03-02T14:00-08:00,1,P-A
A26-1289,final,complete,86,75,84,2026-03-12T09:40-07:00,1,P-A
A26-1817,final,complete,82,91,92,2026-03-10T14:20-07:00,1,P-C
A26-2088,screening,complete,61,96,98,2026-03-04T15:00-08:00,1,P-C
A26-1778,final,complete,87,91,90,2026-03-15T12:20-07:00,1,P-A
A26-1579,final,complete,79,83,88,2026-03-16T10:20-07:00,1,P-D
A26-1505,final,complete,83,91,92,2026-03-12T09:00-07:00,1,P-A
A26-5056,final,complete,79,80,87,2026-03-16T11:00-07:00,2,P-D
A26-4127,final,complete,,99,94,2026-03-22T12:00-07:00,1,P-A
A26-5030,final,complete,83,93,68,2026-03-11T11:00-07:00,1,P-D
A26-5058,final,complete,87,90,90,2026-03-28T11:00-07:00,1,P-D
A26-7117,final,complete,75,81,84,2026-03-20T15:40-07:00,1,P-B
A26-2977,screening,complete,74,85,85,2026-03-04T15:00-08:00,1,P-C
A26-7547,final,pending,93,94,93,2026-03-12T12:20-07:00,1,P-D
A26-2233,screening,complete,61,69,93,2026-03-01T15:00-08:00,1,P-A
A26-4506,final,complete,87,99,91,2026-03-09T16:40-07:00,1,P-C
A26-0896,final,pending,78,91,82,2026-03-15T17:40-07:00,1,P-A
A26-4438,final,complete,89,92,94,2026-03-15T09:00-07:00,1,P-A
A26-5074,screening,complete,91,85,65,2026-03-05T13:00-08:00,1,P-D
A26-4787,final,complete,76,93,99,2026-03-14T11:20-07:00,1,P-B
A26-3028,final,complete,86,77,90,2026-03-19T15:20-07:00,1,P-A
A26-9555,final,complete,71,80,92,2026-03-13T13:40-07:00,1,P-B
A26-1932,screening,complete,91,88,68,2026-03-06T09:00-08:00,1,P-A
A26-3419,final,complete,74,95,82,2026-03-23T10:20-07:00,1,P-B
A26-5038,final,complete,89,88,77,2026-03-17T14:20-07:00,1,P-D
A26-1881,screening,complete,74,67,67,2026-03-01T09:00-08:00,1,P-C
A26-6298,screening,complete,76,74,96,2026-03-01T10:00-08:00,1,P-D
A26-5155,screening,complete,82,75,75,2026-03-04T10:00-08:00,1,P-B
A26-5137,final,complete,76,84,98,2026-03-13T17:40-07:00,1,P-C
A26-4737,final,complete,73,81,86,2026-03-11T15:20-07:00,1,P-C
A26-3426,final,complete,80,77,90,2026-03-19T09:20-07:00,1,P-C
A26-6525,final,complete,74,88,77,2026-03-08T14:20-07:00,1,P-A
A26-2142,screening,complete,60,95,82,2026-03-04T13:00-08:00,1,P-B
A26-2052,final,complete,81,98,77,2026-03-14T13:40-07:00,1,P-B
A26-5121,screening,complete,81,71,98,2026-03-06T14:00-08:00,1,P-B
A26-5069,final,complete,83,82,96,2026-03-20T14:20-07:00,1,P-D
