month,program_id,approved_budget_k,verified_spend_k,late_reports,unresolved_findings,record_type,status,grant_cycle
2026-05,P07,1765,1634,5,3,actual,closed,FY2026
2026-06,P07,1790,1655,5,3,actual,closed,FY2026
2026-07,P07,1794,1614,7,4,actual,closed,FY2026
2026-08,P07,1819,1633,8,5,actual,closed,FY2026
2026-09,P07,1844,1653,8,5,actual,closed,FY2026
2026-09,P07,1883,1634,9,6,forecast,forecast,FY2026
2026-Q3,P07,5457,4900,23,14,subtotal,closed,FY2026
2026-09,P07,1806,1638,7,4,actual,open,FY2026
2025-09,P07,1644,1512,4,2,actual,closed,FY2025
2026-04,P08,1360,1246,6,3,actual,closed,FY2026
2026-05,P08,1385,1267,6,3,actual,closed,FY2026
2026-06,P08,1410,1288,7,4,actual,closed,FY2026
2026-07,P08,1414,1250,10,6,actual,closed,FY2026
2026-08,P08,1439,1269,11,7,actual,closed,FY2026
2026-09,P08,1464,1289,12,7,actual,closed,FY2026
2026-09,P08,1503,1274,13,8,forecast,forecast,FY2026
2026-Q3,P08,4317,3808,33,20,subtotal,closed,FY2026
2026-09,P08,1426,1271,11,6,actual,open,FY2026
2025-09,P08,1264,1149,6,3,actual,closed,FY2025
2026-04,P09,1120,1034,2,1,actual,closed,FY2026
2026-05,P09,1145,1056,3,2,actual,closed,FY2026
2026-06,P09,1170,1077,3,2,actual,closed,FY2026
2026-07,P09,1174,1069,5,3,actual,closed,FY2026
2026-08,P09,1199,1090,5,3,actual,closed,FY2026
2026-09,P09,1224,1110,6,4,actual,closed,FY2026
2026-09,P09,1263,1099,7,5,forecast,forecast,FY2026
2026-Q3,P09,3597,3269,16,10,subtotal,closed,FY2026
2026-09,P09,1186,1089,5,3,actual,open,FY2026
2025-09,P09,1024,938,2,1,actual,closed,FY2025
2026-04,P10,980,924,1,1,actual,closed,FY2026
2026-05,P10,1005,946,2,1,actual,closed,FY2026
2026-06,P10,1030,968,2,1,actual,closed,FY2026
2026-07,P10,1034,961,3,2,actual,closed,FY2026
2026-08,P10,1059,983,4,2,actual,closed,FY2026
2026-09,P10,1084,1004,4,2,actual,closed,FY2026
2026-09,P10,1123,994,5,3,forecast,forecast,FY2026
2026-Q3,P10,3177,2948,11,6,subtotal,closed,FY2026
2026-09,P10,1046,980,3,2,actual,open,FY2026
2025-09,P10,884,827,1,1,actual,closed,FY2025
2026-04,P11,1580,1470,3,2,actual,closed,FY2026
2026-05,P11,1605,1491,4,2,actual,closed,FY2026
2026-06,P11,1630,1512,4,2,actual,closed,FY2026
2026-07,P11,1634,1459,6,4,actual,closed,FY2026
2026-08,P11,1659,1478,7,4,actual,closed,FY2026
2026-09,P11,1684,1497,7,4,actual,closed,FY2026
2026-09,P11,1723,1480,8,5,forecast,forecast,FY2026
2026-Q3,P11,4977,4434,20,12,subtotal,closed,FY2026
2026-09,P11,1646,1481,6,3,actual,open,FY2026
2025-09,P11,1484,1370,3,2,actual,closed,FY2025
2026-04,P12,1420,1303,5,3,actual,closed,FY2026
2026-05,P12,1445,1324,5,3,actual,closed,FY2026
2026-06,P12,1470,1344,6,3,actual,closed,FY2026
2026-07,P12,1474,1285,7,4,actual,closed,FY2026
2026-08,P12,1499,1304,8,5,actual,closed,FY2026
2026-09,P12,1524,1323,9,6,actual,closed,FY2026
2026-09,P12,1563,1308,10,6,forecast,forecast,FY2026
2026-Q3,P12,4497,3912,24,15,subtotal,closed,FY2026
2026-09,P12,1486,1306,8,4,actual,open,FY2026
2025-09,P12,1324,1205,5,2,actual,closed,FY2025
2026-04,P13,2040,1908,3,2,actual,closed,FY2026
2026-05,P13,2065,1929,3,2,actual,closed,FY2026
2026-06,P13,2090,1949,4,2,actual,closed,FY2026
2026-07,P13,2094,1901,6,4,actual,closed,FY2026
2026-08,P13,2119,1920,6,4,actual,closed,FY2026
2026-09,P13,2144,1939,7,4,actual,closed,FY2026
2026-09,P13,2183,1916,8,5,forecast,forecast,FY2026
2026-Q3,P13,6357,5760,19,12,subtotal,closed,FY2026
2026-09,P13,2106,1927,6,3,actual,open,FY2026
2025-09,P13,1944,1804,3,2,actual,closed,FY2025
2026-04,P14,1040,985,1,1,actual,closed,FY2026
2026-05,P14,1065,1007,2,1,actual,closed,FY2026
2026-06,P14,1090,1030,2,1,actual,closed,FY2026
2026-07,P14,1094,1019,4,2,actual,closed,FY2026
2026-08,P14,1119,1041,4,2,actual,closed,FY2026
2026-09,P14,1144,1062,5,3,actual,closed,FY2026
2026-09,P14,1183,1052,6,4,forecast,forecast,FY2026
2026-Q3,P14,3357,3122,13,7,subtotal,closed,FY2026
2026-09,P14,1106,1039,4,2,actual,open,FY2026
2025-09,P14,944,887,1,1,actual,closed,FY2025
2026-04,P15,1860,1701,7,4,actual,closed,FY2026
2026-05,P15,1885,1721,8,4,actual,closed,FY2026
2026-06,P15,1910,1741,8,4,actual,closed,FY2026
2026-07,P15,1914,1623,9,6,actual,closed,FY2026
2026-08,P15,1939,1640,10,6,actual,closed,FY2026
2026-09,P15,1964,1658,11,7,actual,closed,FY2026
2026-09,P15,2003,1637,12,8,forecast,forecast,FY2026
2026-Q3,P15,5817,4921,30,19,subtotal,closed,FY2026
2026-09,P15,1926,1647,10,6,actual,open,FY2026
2025-09,P15,1764,1600,7,4,actual,closed,FY2025
2026-04,P16,1480,1343,5,3,actual,closed,FY2026
2026-05,P16,1505,1364,6,3,actual,closed,FY2026
2026-06,P16,1530,1384,6,3,actual,closed,FY2026
2026-07,P16,1534,1348,7,4,actual,closed,FY2026
2026-08,P16,1559,1367,8,5,actual,closed,FY2026
2026-09,P16,1584,1386,9,6,actual,closed,FY2026
2026-09,P16,1623,1370,10,6,forecast,forecast,FY2026
2026-Q3,P16,4677,4101,24,15,subtotal,closed,FY2026
2026-09,P16,1546,1370,8,4,actual,open,FY2026
2025-09,P16,1384,1246,5,2,actual,closed,FY2025
2026-04,P17,900,846,2,1,actual,closed,FY2026
2026-05,P17,925,868,2,1,actual,closed,FY2026
2026-06,P17,950,890,3,2,actual,closed,FY2026
2026-07,P17,954,857,5,3,actual,closed,FY2026
2026-08,P17,979,877,5,3,actual,closed,FY2026
2026-09,P17,1004,898,6,4,actual,closed,FY2026
2026-09,P17,1043,889,7,5,forecast,forecast,FY2026
2026-Q3,P17,2937,2632,16,10,subtotal,closed,FY2026
2026-09,P17,966,874,5,3,actual,open,FY2026
2025-09,P17,804,749,2,1,actual,closed,FY2025
2026-04,P18,760,717,2,1,actual,closed,FY2026
2026-05,P18,785,739,2,1,actual,closed,FY2026
2026-06,P18,810,762,2,1,actual,closed,FY2026
2026-07,P18,814,735,4,2,actual,closed,FY2026
2026-08,P18,839,756,5,3,actual,closed,FY2026
2026-09,P18,864,777,5,3,actual,closed,FY2026
2026-09,P18,903,770,6,4,forecast,forecast,FY2026
2026-Q3,P18,2517,2268,14,8,subtotal,closed,FY2026
2026-09,P18,826,752,4,2,actual,open,FY2026
2025-09,P18,664,622,1,1,actual,closed,FY2025
