record_id,period_end,meter_id,raw_kwh,peak_kw,reading_basis,ledger_state,quality_status,record_role,review_cycle,revision_no
R00325,2026-10-17,M-225,2104.855,284.615,interval_meter,posted,approved,operational,OCT-2026,1
R00097,2026-08-29,M-207,1460.362,204.302,interval_meter,posted,approved,operational,BASELINE-2026,1
R00329,2026-10-17,M-229,1180.624,195.333,interval_meter,posted,approved,operational,OCT-2026,1
R00389,2026-10-31,M-229,1347.581,212.319,interval_meter,posted,approved,operational,OCT-2026,1
R00122,2026-09-05,M-202,2780.408,293.229,interval_meter,posted,approved,operational,BASELINE-2026,1
R00048,2026-08-15,M-218,2698.192,366.581,interval_meter,posted,approved,operational,BASELINE-2026,1
R00223,2026-09-26,M-213,1946.05,241.152,interval_meter,posted,approved,operational,BASELINE-2026,1
R00014,2026-08-08,M-214,2354.272,325.632,interval_meter,posted,approved,operational,BASELINE-2026,1
R00369,2026-10-31,M-209,2949.492,287.899,interval_meter,posted,approved,operational,OCT-2026,1
R00350,2026-10-24,M-220,1711.223,236.132,interval_meter,posted,approved,operational,OCT-2026,1
R00341,2026-10-24,M-211,2748.68,421.945,interval_meter,posted,approved,operational,OCT-2026,1
R00203,2026-09-19,M-223,3356.415,425.263,interval_meter,posted,approved,operational,BASELINE-2026,1
R00067,2026-08-22,M-207,1445.758,199.551,interval_meter,posted,approved,operational,BASELINE-2026,1
R00174,2026-09-12,M-224,2164.162,337.669,interval_meter,posted,approved,operational,BASELINE-2026,1
R00062,2026-08-22,M-202,2698.631,279.9,interval_meter,posted,approved,operational,BASELINE-2026,1
R00165,2026-09-12,M-215,1589.862,229.336,interval_meter,posted,approved,operational,BASELINE-2026,1
R00421,2026-10-17,M-228,5444,736,interval_meter,pending,approved,operational,OCT-2026,5
R00020,2026-08-08,M-220,1192.136,173.001,interval_meter,posted,approved,operational,BASELINE-2026,1
R00343,2026-10-24,M-213,1905.202,295.102,interval_meter,posted,approved,operational,OCT-2026,1
R00306,2026-10-17,M-206,2566.001,332.615,interval_meter,posted,approved,operational,OCT-2026,1
R00090,2026-08-22,M-230,2350.846,393.76,interval_meter,posted,approved,operational,BASELINE-2026,1
R00129,2026-09-05,M-209,2377.119,230.831,interval_meter,posted,approved,operational,BASELINE-2026,1
R00419,2026-10-03,M-214,5370,730,interval_meter,posted,provisional,operational,OCT-2026,5
R00235,2026-09-26,M-225,1578.954,245.222,interval_meter,posted,approved,operational,BASELINE-2026,1
R00195,2026-09-19,M-215,1574.575,226.788,interval_meter,posted,approved,operational,BASELINE-2026,1
R00029,2026-08-08,M-229,983.33,150.888,interval_meter,posted,approved,operational,BASELINE-2026,1
R00277,2026-10-10,M-207,1775.8,226.841,interval_meter,posted,approved,operational,OCT-2026,1
R00452,2026-08-29,M-217,5703,757,interval_meter,posted,approved,reference,BASELINE-2026,5
R00372,2026-10-31,M-212,3762.831,458.248,interval_meter,posted,approved,operational,OCT-2026,1
R00304,2026-10-17,M-204,2174.555,286.835,interval_meter,posted,approved,operational,OCT-2026,1
R00167,2026-09-12,M-217,2282.294,278.105,interval_meter,posted,approved,operational,BASELINE-2026,1
R00142,2026-09-05,M-222,2542.522,344.851,interval_meter,posted,approved,operational,BASELINE-2026,1
R00123,2026-09-05,M-203,1557.504,164.258,interval_meter,posted,approved,operational,BASELINE-2026,1
R00166,2026-09-12,M-216,3229.167,398.337,interval_meter,posted,approved,operational,BASELINE-2026,1
R00288,2026-10-10,M-218,2827.538,432.148,interval_meter,posted,approved,operational,OCT-2026,1
R00333,2026-10-24,M-203,1855.872,198.722,interval_meter,posted,approved,operational,OCT-2026,1
R00207,2026-09-19,M-227,1341.146,186.803,interval_meter,posted,approved,operational,BASELINE-2026,1
R00461,2026-10-24,M-232,3800,590,interval_meter,posted,approved,operational,OCT-2026,1
R00038,2026-08-15,M-208,2399.327,313.98,interval_meter,posted,approved,operational,BASELINE-2026,1
R00111,2026-08-29,M-221,880.361,132.409,interval_meter,posted,approved,operational,BASELINE-2026,1
R00320,2026-10-17,M-220,1644.768,223.96,interval_meter,posted,approved,operational,OCT-2026,1
R00296,2026-10-10,M-226,1288.419,244.996,interval_meter,posted,approved,operational,OCT-2026,1
R00271,2026-10-10,M-201,3076.375,314.511,interval_meter,posted,approved,operational,OCT-2026,1
R00264,2026-10-03,M-224,2547.052,333.551,interval_meter,posted,approved,operational,OCT-2026,1
R00478,2026-11-07,M-206,4000,500,interval_meter,posted,approved,operational,NOV-2026,1
R00403,2026-08-15,M-205,2500.781,213.329,interval_meter,posted,approved,operational,BASELINE-2026,1
R00135,2026-09-05,M-215,1559.288,224.24,interval_meter,posted,approved,operational,BASELINE-2026,1
R00476,2026-11-07,M-204,4000,500,interval_meter,posted,approved,operational,NOV-2026,1
R00224,2026-09-26,M-214,2529.59,363.205,interval_meter,posted,approved,operational,BASELINE-2026,1
R00261,2026-10-03,M-221,1037.946,136.877,interval_meter,posted,approved,operational,OCT-2026,2
R00262,2026-10-03,M-222,2288.27,348.387,interval_meter,posted,approved,operational,OCT-2026,1
R00470,2026-10-17,M-191,3500,650,interval_meter,posted,approved,operational,OCT-2026,1
R00428,2026-10-31,M-217,5703,757,interval_meter,posted,approved,reference,OCT-2026,5
R00255,2026-10-03,M-215,1513.427,226.539,interval_meter,posted,approved,operational,OCT-2026,1
R00094,2026-08-29,M-204,2112.039,244.295,interval_meter,posted,approved,operational,BASELINE-2026,1
R00204,2026-09-19,M-224,2143.353,333.917,interval_meter,posted,approved,operational,BASELINE-2026,1
R00415,2026-10-10,M-216,5222,718,interval_meter,posted,provisional,operational,OCT-2026,5
R00176,2026-09-12,M-226,1516.645,230.916,interval_meter,posted,approved,operational,BASELINE-2026,1
R00284,2026-10-10,M-214,2617.249,398.64,interval_meter,posted,approved,operational,OCT-2026,1
R00349,2026-10-24,M-219,2290.886,316.12,interval_meter,posted,approved,operational,OCT-2026,1
R00001,2026-08-08,M-201,2871.69,256.911,interval_meter,posted,approved,operational,BASELINE-2026,2
R00379,2026-10-31,M-219,2513.302,325.897,interval_meter,posted,approved,operational,OCT-2026,1
R00397,2026-10-17,M-226,1570.922,287.575,interval_meter,posted,approved,operational,OCT-2026,1
R00088,2026-08-22,M-228,1626.464,255.198,interval_meter,posted,approved,operational,BASELINE-2026,1
R00257,2026-10-03,M-217,1915.81,274.713,interval_meter,posted,approved,operational,OCT-2026,1
R00025,2026-08-08,M-225,1469.521,219.855,interval_meter,posted,approved,operational,BASELINE-2026,1
R00187,2026-09-19,M-207,1504.172,211.429,interval_meter,posted,approved,operational,BASELINE-2026,1
R00168,2026-09-12,M-218,2892.907,407.312,interval_meter,posted,approved,operational,BASELINE-2026,1
R00331,2026-10-24,M-201,3335.438,350.662,interval_meter,posted,approved,operational,OCT-2026,1
R00463,2026-10-03,M-190,3500,650,interval_meter,posted,approved,operational,OCT-2026,1
R00393,2026-10-10,M-204,2441.432,301.083,interval_meter,posted,approved,operational,OCT-2026,1
R00402,2026-08-08,M-218,3059.249,391.834,interval_meter,posted,approved,operational,BASELINE-2026,1
R00015,2026-08-08,M-215,1436.991,198.758,interval_meter,posted,approved,operational,BASELINE-2026,1
R00219,2026-09-26,M-209,2353.814,228.208,interval_meter,posted,approved,operational,BASELINE-2026,1
R00169,2026-09-12,M-219,1765.747,267.235,interval_meter,posted,approved,operational,BASELINE-2026,1
R00229,2026-09-26,M-219,1714.812,258.328,interval_meter,posted,approved,operational,BASELINE-2026,1
R00057,2026-08-15,M-227,1263.021,170.012,interval_meter,posted,approved,operational,BASELINE-2026,1
R00266,2026-10-03,M-226,1220.607,228.1,interval_meter,posted,approved,operational,OCT-2026,1
R00071,2026-08-22,M-211,2516.129,332.916,interval_meter,posted,approved,operational,BASELINE-2026,1
R00068,2026-08-22,M-208,2448.798,325.609,interval_meter,posted,approved,operational,BASELINE-2026,1
R00073,2026-08-22,M-213,1907.514,232.836,interval_meter,posted,approved,operational,BASELINE-2026,1
R00010,2026-08-08,M-210,1785.16,166.727,interval_meter,posted,approved,operational,BASELINE-2026,1
R00445,2026-09-05,M-228,5444,736,interval_meter,pending,approved,operational,BASELINE-2026,5
R00047,2026-08-15,M-217,2128.678,250.294,interval_meter,posted,approved,operational,BASELINE-2026,1
R00133,2026-09-05,M-213,1965.318,243.924,interval_meter,posted,approved,operational,BASELINE-2026,1
R00099,2026-08-29,M-209,2330.508,225.585,interval_meter,posted,approved,operational,BASELINE-2026,1
R00374,2026-10-31,M-214,3113.149,458.206,interval_meter,posted,approved,operational,OCT-2026,1
R00259,2026-10-03,M-219,2001.745,263.976,interval_meter,posted,approved,operational,OCT-2026,1
R00276,2026-10-10,M-206,2462.324,314.538,interval_meter,posted,approved,operational,OCT-2026,1
R00152,2026-09-12,M-202,2834.925,299.893,interval_meter,posted,approved,operational,BASELINE-2026,1
R00191,2026-09-19,M-211,2617.791,352.733,interval_meter,posted,approved,operational,BASELINE-2026,1
R00357,2026-10-24,M-227,1354.557,223.458,interval_meter,posted,approved,operational,OCT-2026,1
R00137,2026-09-05,M-217,2238.404,271.925,interval_meter,posted,approved,operational,BASELINE-2026,1
R00031,2026-08-15,M-201,2963.34,266.792,interval_meter,posted,approved,operational,BASELINE-2026,1
R00083,2026-08-22,M-223,3226.069,401.371,interval_meter,posted,approved,operational,BASELINE-2026,1
R00435,2026-08-22,M-218,5074,706,interval_meter,posted,provisional,operational,BASELINE-2026,5
R00330,2026-10-17,M-230,2797.507,473.335,interval_meter,posted,approved,operational,OCT-2026,1
R00242,2026-10-03,M-202,2894.895,296.236,interval_meter,posted,approved,operational,OCT-2026,1
R00212,2026-09-26,M-202,2753.149,289.897,interval_meter,posted,approved,operational,BASELINE-2026,1
R00196,2026-09-19,M-216,3198.117,393.911,interval_meter,posted,approved,operational,BASELINE-2026,1
R00217,2026-09-26,M-207,1474.965,206.678,interval_meter,posted,approved,operational,BASELINE-2026,1
R00063,2026-08-22,M-203,1511.695,156.792,interval_meter,posted,approved,operational,BASELINE-2026,1
R00215,2026-09-26,M-205,2225.561,206.424,interval_meter,posted,approved,operational,BASELINE-2026,1
R00178,2026-09-12,M-228,1708.608,273.426,interval_meter,posted,approved,operational,BASELINE-2026,1
R00344,2026-10-24,M-214,2837.649,444.46,interval_meter,posted,approved,operational,OCT-2026,1
R00412,2026-10-24,M-225,5111,709,interval_meter,posted,approved,reference,OCT-2026,5
R00098,2026-08-29,M-208,2473.533,333.362,interval_meter,posted,approved,operational,BASELINE-2026,1
R00222,2026-09-26,M-212,3085.54,363.238,interval_meter,posted,approved,operational,BASELINE-2026,1
R00287,2026-10-10,M-217,2022.244,295.062,interval_meter,posted,approved,operational,OCT-2026,2
R00140,2026-09-05,M-220,1293.595,195.181,interval_meter,posted,approved,operational,BASELINE-2026,1
R00075,2026-08-22,M-215,1513.427,214.047,interval_meter,posted,approved,operational,BASELINE-2026,1
R00285,2026-10-10,M-215,1597.506,243.32,interval_meter,posted,approved,operational,OCT-2026,1
R00340,2026-10-24,M-210,2190.81,227.568,interval_meter,posted,approved,operational,OCT-2026,1
R00342,2026-10-24,M-212,3429.837,444.501,interval_meter,posted,approved,operational,OCT-2026,1
R00086,2026-08-22,M-226,1443.729,215.522,interval_meter,posted,approved,operational,BASELINE-2026,2
R00395,2026-10-10,M-230,3140.837,496.848,interval_meter,posted,approved,operational,OCT-2026,1
R00052,2026-08-15,M-222,2417.889,317.419,interval_meter,posted,approved,operational,BASELINE-2026,2
R00291,2026-10-10,M-221,1095.609,147.016,interval_meter,posted,approved,operational,OCT-2026,1
R00117,2026-08-29,M-227,1302.083,180.507,interval_meter,posted,approved,operational,BASELINE-2026,1
R00385,2026-10-31,M-225,2402.511,309.364,interval_meter,posted,approved,operational,OCT-2026,1
R00238,2026-09-26,M-228,1659.322,264.312,interval_meter,posted,approved,operational,BASELINE-2026,1
R00017,2026-08-08,M-217,2062.843,241.024,interval_meter,posted,approved,operational,BASELINE-2026,1
R00413,2026-10-31,M-202,5148,712,interval_meter,pending,approved,operational,OCT-2026,5
R00055,2026-08-15,M-225,1516.421,228.31,interval_meter,posted,approved,operational,BASELINE-2026,1
R00448,2026-09-26,M-219,5555,745,interval_meter,posted,approved,reference,BASELINE-2026,5
R00368,2026-10-31,M-208,2878.945,425.448,interval_meter,posted,approved,operational,OCT-2026,1
R00121,2026-09-05,M-201,3116.09,289.848,interval_meter,posted,approved,operational,BASELINE-2026,1
R00443,2026-08-22,M-214,5370,730,interval_meter,posted,provisional,operational,BASELINE-2026,5
R00302,2026-10-17,M-202,3184.385,336.466,interval_meter,posted,approved,operational,OCT-2026,1
R00109,2026-08-29,M-219,1697.833,255.358,interval_meter,posted,approved,operational,BASELINE-2026,1
R00246,2026-10-03,M-206,2332.728,292.846,interval_meter,posted,approved,operational,OCT-2026,1
R00407,2026-08-29,M-213,2254.335,264.602,interval_meter,posted,approved,operational,BASELINE-2026,1
R00424,2026-10-03,M-219,5555,745,interval_meter,posted,approved,reference,OCT-2026,5
R00449,2026-08-08,M-226,5592,748,interval_meter,pending,approved,operational,BASELINE-2026,5
R00205,2026-09-19,M-225,1610.22,250.86,interval_meter,posted,approved,operational,BASELINE-2026,1
R00107,2026-08-29,M-217,2194.514,265.745,interval_meter,posted,approved,operational,BASELINE-2026,1
R00314,2026-10-17,M-214,2727.449,421.55,interval_meter,posted,approved,operational,OCT-2026,1
R00202,2026-09-19,M-222,2567.449,348.769,interval_meter,posted,approved,operational,BASELINE-2026,1
R00172,2026-09-12,M-222,2592.375,352.688,interval_meter,posted,approved,operational,BASELINE-2026,1
R00209,2026-09-19,M-229,1077.479,172.167,interval_meter,posted,approved,operational,BASELINE-2026,1
R00132,2026-09-05,M-212,3116.09,367.413,interval_meter,posted,approved,operational,BASELINE-2026,1
R00309,2026-10-17,M-209,2584.068,264.867,interval_meter,posted,approved,operational,OCT-2026,1
R00007,2026-08-08,M-207,1372.74,185.297,interval_meter,posted,approved,operational,BASELINE-2026,1
R00382,2026-10-31,M-222,2873.05,430.108,interval_meter,posted,approved,operational,OCT-2026,1
R00113,2026-08-29,M-223,3258.656,410.928,interval_meter,posted,approved,operational,BASELINE-2026,1
R00332,2026-10-24,M-202,3313.047,354.752,interval_meter,posted,approved,operational,OCT-2026,1
R00101,2026-08-29,M-211,2541.544,340.843,interval_meter,posted,approved,operational,BASELINE-2026,1
R00383,2026-10-31,M-223,4271.446,524.44,interval_meter,posted,approved,operational,OCT-2026,1
R00408,2026-08-29,M-230,2778.273,447.48,interval_meter,posted,approved,operational,BASELINE-2026,1
R00066,2026-08-22,M-206,2004.688,276.697,interval_meter,posted,approved,operational,BASELINE-2026,1
R00275,2026-10-10,M-205,1842.147,226.562,interval_meter,posted,approved,operational,OCT-2026,1
R00398,2026-10-24,M-209,3145.516,309.981,interval_meter,posted,approved,operational,OCT-2026,1
R00252,2026-10-03,M-212,2996.945,371.181,interval_meter,posted,approved,operational,OCT-2026,1
R00145,2026-09-05,M-225,1594.587,248.041,interval_meter,posted,approved,operational,BASELINE-2026,1
R00375,2026-10-31,M-215,1900.191,279.678,interval_meter,posted,approved,operational,OCT-2026,1
R00011,2026-08-08,M-211,2389.052,309.137,interval_meter,posted,approved,operational,BASELINE-2026,1
R00298,2026-10-10,M-228,1779.253,290.098,interval_meter,posted,approved,operational,OCT-2026,1
R00279,2026-10-10,M-209,2479.661,250.472,interval_meter,posted,approved,operational,OCT-2026,1
R00192,2026-09-19,M-212,3146.64,371.589,interval_meter,posted,approved,operational,BASELINE-2026,1
R00405,2026-08-22,M-209,2699.428,244.576,interval_meter,posted,approved,operational,BASELINE-2026,1
R00269,2026-10-03,M-229,1073.294,171.978,interval_meter,posted,approved,operational,OCT-2026,1
R00367,2026-10-31,M-207,2112.267,260.737,interval_meter,posted,approved,operational,OCT-2026,1
R00177,2026-09-12,M-227,1354.167,188.902,interval_meter,posted,approved,operational,BASELINE-2026,1
R00464,2026-10-10,M-190,3500,650,interval_meter,posted,approved,operational,OCT-2026,1
R00326,2026-10-17,M-226,1342.668,259.077,interval_meter,posted,approved,operational,OCT-2026,2
R00084,2026-08-22,M-224,2060.116,315.158,interval_meter,posted,approved,operational,BASELINE-2026,1
R00301,2026-10-17,M-201,3205.906,332.587,interval_meter,posted,approved,operational,OCT-2026,1
R00274,2026-10-10,M-204,2086.694,271.246,interval_meter,posted,approved,operational,OCT-2026,2
R00081,2026-08-22,M-221,871.558,129.329,interval_meter,posted,approved,operational,BASELINE-2026,1
R00411,2026-10-17,M-218,5074,706,interval_meter,posted,provisional,operational,OCT-2026,5
R00365,2026-10-31,M-205,2191.186,260.417,interval_meter,posted,approved,operational,OCT-2026,2
R00028,2026-08-08,M-228,1544.319,236.969,interval_meter,posted,approved,operational,BASELINE-2026,1
R00162,2026-09-12,M-212,3177.189,375.764,interval_meter,posted,approved,operational,BASELINE-2026,1
R00469,2026-10-10,M-191,3500,650,interval_meter,posted,approved,operational,OCT-2026,1
R00022,2026-08-08,M-222,2343.109,305.663,interval_meter,posted,approved,operational,BASELINE-2026,1
R00265,2026-10-03,M-225,1913.504,250.585,interval_meter,posted,approved,operational,OCT-2026,1
R00042,2026-08-15,M-212,2963.34,338.187,interval_meter,posted,approved,operational,BASELINE-2026,1
R00102,2026-08-29,M-212,3054.99,359.063,interval_meter,posted,approved,operational,BASELINE-2026,1
R00072,2026-08-22,M-212,3024.44,350.713,interval_meter,posted,approved,operational,BASELINE-2026,1
R00381,2026-10-31,M-221,1303.199,168.984,interval_meter,posted,approved,operational,OCT-2026,1
R00032,2026-08-15,M-202,2644.113,269.904,interval_meter,posted,approved,operational,BASELINE-2026,1
R00018,2026-08-08,M-218,2614.743,353.004,interval_meter,posted,approved,operational,BASELINE-2026,2
R00114,2026-08-29,M-224,2080.925,322.662,interval_meter,posted,approved,operational,BASELINE-2026,1
R00225,2026-09-26,M-215,1544.001,221.692,interval_meter,posted,approved,operational,BASELINE-2026,1
R00392,2026-10-03,M-221,1214.397,151.933,interval_meter,posted,approved,operational,OCT-2026,1
R00247,2026-10-03,M-207,1682.337,211.197,interval_meter,posted,approved,operational,OCT-2026,1
R00348,2026-10-24,M-218,3065.647,481.82,interval_meter,posted,approved,operational,OCT-2026,1
R00110,2026-08-29,M-220,1268.23,190.745,interval_meter,posted,approved,operational,BASELINE-2026,1
R00069,2026-08-22,M-209,2307.203,220.339,interval_meter,posted,approved,operational,BASELINE-2026,2
R00108,2026-08-29,M-218,2781.641,389.209,interval_meter,posted,approved,operational,BASELINE-2026,1
R00360,2026-10-24,M-230,2910.537,499.06,interval_meter,posted,approved,operational,OCT-2026,1
R00380,2026-10-31,M-220,1877.361,243.435,interval_meter,posted,approved,operational,OCT-2026,1
R00106,2026-08-29,M-216,3104.968,380.633,interval_meter,posted,approved,operational,BASELINE-2026,1
R00237,2026-09-26,M-227,1315.104,182.606,interval_meter,posted,approved,operational,BASELINE-2026,1
R00170,2026-09-12,M-220,1318.959,199.617,interval_meter,posted,approved,operational,BASELINE-2026,1
R00289,2026-10-10,M-219,2112.953,283.53,interval_meter,posted,approved,operational,OCT-2026,1
R00193,2026-09-19,M-213,1984.586,246.696,interval_meter,posted,approved,operational,BASELINE-2026,1
R00312,2026-10-17,M-212,3296.64,421.589,interval_meter,posted,approved,operational,OCT-2026,1
R00321,2026-10-17,M-221,1141.74,155.465,interval_meter,posted,approved,operational,OCT-2026,1
R00003,2026-08-08,M-203,1435.346,145.593,interval_meter,posted,approved,operational,BASELINE-2026,1
R00371,2026-10-31,M-211,3015.543,434.995,interval_meter,posted,approved,operational,OCT-2026,1
R00211,2026-09-26,M-201,3085.54,286.555,interval_meter,posted,approved,operational,BASELINE-2026,1
R00251,2026-10-03,M-211,2401.76,352.346,interval_meter,posted,approved,operational,OCT-2026,1
R00339,2026-10-24,M-209,2688.475,279.262,interval_meter,posted,approved,operational,OCT-2026,2
R00115,2026-08-29,M-225,1563.321,242.404,interval_meter,posted,approved,operational,BASELINE-2026,1
R00227,2026-09-26,M-217,2216.459,268.835,interval_meter,posted,approved,operational,BASELINE-2026,1
R00039,2026-08-15,M-209,2260.593,212.47,interval_meter,posted,approved,operational,BASELINE-2026,1
R00004,2026-08-08,M-204,1985.316,221.57,interval_meter,posted,approved,operational,BASELINE-2026,1
R00230,2026-09-26,M-220,1280.912,192.963,interval_meter,posted,approved,operational,BASELINE-2026,1
R00161,2026-09-12,M-211,2643.206,356.696,interval_meter,posted,approved,operational,BASELINE-2026,1
R00043,2026-08-15,M-213,1868.979,224.521,interval_meter,posted,approved,operational,BASELINE-2026,1
R00338,2026-10-24,M-208,2624.171,412.684,interval_meter,posted,approved,operational,OCT-2026,1
R00328,2026-10-17,M-228,1854.169,306.771,interval_meter,posted,approved,operational,OCT-2026,1
R00427,2026-10-24,M-210,5666,754,interval_meter,posted,provisional,operational,OCT-2026,5
R00282,2026-10-10,M-212,3163.442,398.676,interval_meter,posted,approved,operational,OCT-2026,1
R00345,2026-10-24,M-215,1732.033,271.288,interval_meter,posted,approved,operational,OCT-2026,1
R00087,2026-08-22,M-227,1289.062,176.309,interval_meter,posted,approved,operational,BASELINE-2026,1
R00061,2026-08-22,M-201,3024.44,276.673,interval_meter,posted,approved,operational,BASELINE-2026,1
R00226,2026-09-26,M-216,3136.018,385.059,interval_meter,posted,approved,operational,BASELINE-2026,1
R00297,2026-10-10,M-227,1249.349,200.421,interval_meter,posted,approved,operational,OCT-2026,1
R00089,2026-08-22,M-229,1035.635,162.495,interval_meter,posted,approved,operational,BASELINE-2026,1
